-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  64.7719   Longitude -152.4426 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,97.1,98.28,97.83,98.7,98.55,98.2,98.54,98.25,98.13,98.2,97.54,98.02,98.11
PS,1982,99.07,99.84,98.46,98.33,98.69,98.53,98.59,98.88,98.11,98.33,98.19,97.74,98.56
PS,1983,98.09,97.66,98.48,98.41,98.55,98.34,98.48,98.27,98.54,98.05,97.45,99.48,98.32
PS,1984,98.42,97.97,98.28,98.37,98.55,98.39,98.6,98.59,98.66,98.56,97.82,98.4,98.39
PS,1985,98.03,99.0,97.81,98.29,98.32,98.54,98.97,98.71,98.49,98.11,99.53,98.14,98.49
PS,1986,97.51,98.55,98.54,98.88,98.38,98.34,98.79,98.5,98.9,98.35,98.4,97.29,98.37
PS,1987,97.39,98.3,98.77,97.95,98.22,97.99,98.8,99.38,97.91,97.87,97.65,97.69,98.16
PS,1988,98.22,98.15,98.26,98.02,98.16,98.49,98.66,98.18,98.32,98.5,97.59,97.75,98.19
PS,1989,98.3,100.41,99.32,98.89,98.71,98.73,98.88,98.56,98.36,98.08,98.07,98.26,98.7
PS,1990,97.75,98.61,98.46,99.12,98.52,98.34,98.72,98.53,97.99,97.78,98.75,98.69,98.44
PS,1991,98.97,98.11,98.02,98.2,98.23,98.62,98.63,98.38,98.13,98.75,98.31,97.04,98.28
PS,1992,97.35,98.59,98.21,98.91,98.88,98.55,98.69,98.43,98.51,98.12,97.65,98.43,98.36
PS,1993,98.27,98.68,98.23,98.16,98.59,98.47,99.03,98.71,98.49,98.12,98.18,97.37,98.36
PS,1994,98.79,99.46,98.03,98.38,97.97,98.42,98.64,98.84,98.09,97.76,97.63,97.46,98.28
PS,1995,97.96,99.2,99.26,98.27,98.41,98.56,98.58,98.41,98.09,97.85,98.96,98.28,98.48
PS,1996,99.41,98.09,99.64,98.17,99.18,98.47,98.87,98.45,98.37,98.61,98.89,98.73,98.75
PS,1997,98.36,97.95,99.09,98.54,98.98,98.39,98.53,98.68,97.88,98.59,97.42,97.23,98.31
PS,1998,98.11,97.23,98.26,97.85,98.03,98.84,98.59,98.22,97.99,98.01,97.75,98.65,98.14
PS,1999,98.43,97.69,97.95,98.39,98.44,98.37,98.79,98.34,98.08,97.89,97.79,98.01,98.19
PS,2000,98.09,97.93,97.7,98.67,98.81,98.58,98.48,98.94,98.31,97.94,97.99,98.43,98.32
PS,2001,97.08,98.54,98.34,98.16,98.36,98.96,98.6,98.29,97.84,97.89,97.99,97.67,98.14
PS,2002,97.75,98.03,99.76,99.36,98.89,98.4,98.72,98.57,98.13,98.23,97.49,97.34,98.39
PS,2003,98.18,98.46,98.86,98.51,98.57,98.5,98.58,98.43,98.61,98.09,98.11,97.35,98.35
PS,2004,99.41,97.83,98.54,98.56,98.82,98.89,98.62,98.88,98.22,97.61,97.62,98.17,98.44
PS,2005,99.09,98.32,98.19,98.67,98.34,98.54,98.33,98.61,97.99,97.56,98.34,97.4,98.28
PS,2006,97.83,98.41,98.96,97.94,98.63,98.63,98.53,98.31,98.18,98.09,99.22,96.83,98.29
PS,2007,98.02,98.98,98.99,97.86,98.47,98.51,98.47,98.71,98.13,97.56,97.69,98.15,98.29
PS,2008,98.18,98.18,98.31,98.74,98.6,98.45,98.26,98.33,98.35,98.1,97.96,99.2,98.39
PS,2009,98.65,98.78,98.67,98.95,98.9,98.47,98.93,98.5,97.97,98.44,97.06,98.68,98.5
PS,2010,98.4,98.08,97.4,97.79,98.69,98.32,98.52,98.58,98.62,97.44,98.27,98.88,98.25
PS,2011,98.72,99.17,98.55,98.26,98.56,98.33,98.28,98.09,97.45,97.57,97.99,97.51,98.2
PS,2012,98.52,97.69,97.86,98.53,98.14,98.26,98.56,98.53,97.74,99.28,99.17,98.16,98.37
PS,2013,98.44,97.78,99.02,99.46,98.81,98.83,99.02,98.28,97.8,97.93,98.76,99.22,98.62
PS,2014,97.84,99.03,98.52,98.21,99.11,98.29,98.67,98.28,98.29,98.0,98.44,97.76,98.36
PS,2015,98.84,99.15,98.46,97.76,98.92,98.63,98.43,98.57,98.02,98.04,97.62,97.36,98.31
PS,2016,97.49,97.63,98.05,98.19,98.89,98.52,98.62,98.74,98.26,98.51,97.58,98.68,98.27
PS,2017,98.55,98.58,99.31,98.57,98.27,98.35,98.68,98.11,98.07,98.04,98.74,98.33,98.47
PS,2018,98.52,99.39,98.97,98.39,98.17,98.31,99.03,98.34,99.28,97.91,98.17,97.41,98.48
PS,2019,98.39,99.3,98.39,98.3,98.46,98.83,98.74,99.11,98.17,98.23,98.26,97.5,98.47
PS,2020,98.58,98.25,99.24,98.73,98.71,98.21,98.59,98.16,98.38,98.74,97.77,97.53,98.41
PS,2021,97.39,98.93,98.44,99.09,98.66,98.36,98.68,98.36,97.9,97.3,98.27,98.34,98.3
PS,2022,98.76,98.64,98.51,98.76,98.57,98.86,98.27,98.14,97.82,98.0,98.87,98.93,98.51
TS,1981,-12.55,-19.85,-9.37,-6.31,10.01,13.03,12.19,10.55,3.44,-6.16,-18.13,-24.72,-3.88
TS,1982,-29.26,-24.75,-16.7,-9.1,2.77,12.62,14.69,11.41,5.76,-12.5,-19.45,-20.17,-6.96
TS,1983,-29.13,-22.41,-19.25,-5.45,5.9,13.55,14.96,9.31,1.86,-10.76,-15.87,-21.92,-6.52
TS,1984,-26.7,-30.9,-15.36,-10.2,4.44,14.94,13.96,9.35,4.91,-7.24,-22.74,-23.63,-7.35
TS,1985,-14.69,-27.19,-14.09,-13.0,3.08,11.44,14.94,10.83,3.8,-9.47,-21.7,-16.1,-5.85
TS,1986,-23.99,-19.68,-22.01,-12.58,4.17,13.87,14.76,9.45,4.69,-7.45,-22.09,-16.74,-6.38
TS,1987,-22.13,-21.3,-18.06,-8.1,6.09,13.19,14.74,11.7,2.91,-3.21,-18.03,-23.0,-5.34
TS,1988,-21.5,-20.66,-14.56,-6.03,7.44,14.14,16.38,11.98,4.46,-12.9,-23.13,-18.97,-5.23
TS,1989,-35.64,-16.77,-20.41,-4.49,4.76,12.61,14.64,12.3,5.73,-7.17,-24.55,-21.14,-6.64
TS,1990,-27.8,-34.27,-12.37,-3.49,9.26,13.77,16.56,13.44,3.74,-7.66,-24.44,-25.46,-6.38
TS,1991,-24.15,-23.66,-15.53,-5.17,7.29,14.48,13.44,9.96,6.28,-6.04,-22.05,-23.62,-5.63
TS,1992,-22.97,-24.95,-15.1,-8.23,0.51,13.88,15.88,11.53,-1.55,-11.42,-16.13,-23.88,-6.81
TS,1993,-23.42,-20.08,-12.44,-2.96,7.35,14.62,16.83,10.87,3.94,-3.44,-17.17,-18.96,-3.64
TS,1994,-22.47,-24.03,-18.85,-5.97,8.27,12.23,15.25,12.23,3.58,-8.88,-22.41,-24.85,-6.21
TS,1995,-22.75,-20.19,-20.07,-2.66,8.94,12.83,14.85,11.12,7.97,-5.7,-21.97,-24.03,-5.06
TS,1996,-29.37,-23.11,-14.36,-7.85,5.47,12.54,14.47,8.75,2.51,-13.12,-20.33,-24.58,-7.38
TS,1997,-28.04,-15.31,-21.09,-5.21,7.06,14.95,15.26,11.86,7.0,-9.82,-15.3,-21.97,-5.02
TS,1998,-26.39,-19.44,-12.27,-0.7,6.94,12.51,15.22,9.22,5.45,-4.64,-16.88,-24.06,-4.52
TS,1999,-30.27,-30.03,-17.97,-5.77,5.82,14.19,14.45,12.07,5.69,-9.92,-22.56,-27.54,-7.53
TS,2000,-23.49,-15.99,-14.01,-7.92,3.28,14.41,13.26,8.85,3.3,-7.88,-14.64,-18.46,-4.92
TS,2001,-16.45,-16.06,-17.97,-5.6,1.37,13.44,12.91,11.52,6.2,-8.07,-20.43,-25.05,-5.3
TS,2002,-18.79,-20.6,-16.38,-8.64,6.5,12.85,14.64,10.57,5.72,-2.87,-10.35,-17.7,-3.66
TS,2003,-23.43,-14.44,-16.87,-4.81,5.22,13.74,13.7,11.86,2.67,-1.56,-16.4,-23.23,-4.42
TS,2004,-29.05,-20.35,-19.45,-3.41,8.55,16.67,16.49,14.34,1.63,-4.76,-15.71,-22.82,-4.79
TS,2005,-24.69,-20.98,-12.09,-6.31,10.58,14.94,14.75,12.1,5.62,-6.32,-24.7,-17.09,-4.4
TS,2006,-30.61,-15.92,-20.72,-7.61,7.29,12.34,14.33,10.07,7.73,-1.34,-24.28,-20.71,-5.74
TS,2007,-21.21,-25.64,-25.85,-0.76,7.98,14.28,16.33,13.97,6.48,-7.38,-13.33,-21.71,-4.63
TS,2008,-23.19,-23.44,-15.69,-6.43,6.44,13.05,13.32,9.8,4.83,-12.26,-19.04,-22.85,-6.24
TS,2009,-26.7,-21.1,-19.5,-6.25,6.76,12.89,16.97,9.87,5.61,-3.52,-20.47,-20.27,-5.38
TS,2010,-28.35,-19.82,-17.49,-3.15,8.87,13.52,13.59,12.54,5.71,-5.48,-15.09,-29.3,-5.31
TS,2011,-23.05,-22.14,-16.94,-7.38,7.95,13.76,13.37,10.35,6.37,-3.17,-23.22,-17.49,-5.02
TS,2012,-35.35,-16.1,-19.63,-2.99,6.23,14.83,13.8,10.98,4.62,-6.67,-21.16,-25.49,-6.42
TS,2013,-20.46,-21.68,-17.61,-11.06,2.62,16.37,14.77,12.38,3.46,0.26,-16.73,-22.86,-4.94
TS,2014,-16.19,-21.18,-14.37,-5.07,7.26,11.68,13.08,12.45,4.89,-6.92,-14.7,-17.2,-3.74
TS,2015,-24.52,-18.51,-13.7,-2.65,10.55,13.47,14.99,10.05,2.98,-4.17,-14.12,-20.72,-3.78
TS,2016,-15.85,-15.5,-12.99,-3.21,8.47,13.33,15.05,13.08,5.66,-4.02,-17.42,-21.87,-2.9
TS,2017,-24.46,-19.66,-22.74,-4.71,7.42,14.23,17.01,11.11,6.44,-2.74,-16.4,-13.6,-3.92
TS,2018,-23.6,-18.36,-12.87,-6.27,6.37,12.92,15.4,10.55,5.89,-1.27,-14.17,-18.74,-3.6
TS,2019,-21.88,-16.3,-7.16,-4.42,8.4,16.05,16.82,11.19,5.87,-3.42,-15.22,-23.23,-2.7
TS,2020,-28.78,-24.83,-16.27,-4.82,7.26,13.59,13.15,13.09,5.37,-3.83,-16.31,-20.93,-5.22
TS,2021,-19.52,-28.57,-18.28,-7.43,7.12,13.83,14.33,10.22,4.31,-5.66,-21.02,-21.03,-5.83
