-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  38.887   Longitude -105.6188 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2770.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,72.66,72.4,72.24,72.7,72.55,73.03,73.38,73.39,73.3,72.73,72.71,72.27,72.78
PS,1982,71.98,72.37,72.1,72.42,72.55,72.94,73.33,73.54,73.12,72.81,72.4,72.23,72.65
PS,1983,72.4,72.15,71.86,72.09,72.53,72.86,73.39,73.61,73.19,73.02,72.16,72.0,72.61
PS,1984,72.59,72.25,72.2,72.13,72.86,72.98,73.42,73.47,73.14,72.51,72.46,72.24,72.69
PS,1985,72.37,72.2,72.26,72.57,72.81,73.13,73.5,73.36,72.98,72.83,72.1,72.56,72.73
PS,1986,72.81,72.16,72.53,72.42,72.68,73.18,73.38,73.46,72.92,72.96,72.6,72.6,72.82
PS,1987,72.28,72.31,72.2,72.82,72.84,73.26,73.17,73.34,73.25,73.15,72.65,72.19,72.79
PS,1988,72.28,72.57,72.33,72.52,72.72,73.31,73.47,73.31,73.12,73.18,72.26,72.52,72.8
PS,1989,72.42,72.37,72.43,72.65,72.75,73.06,73.5,73.25,73.22,72.98,72.6,72.48,72.81
PS,1990,72.28,72.27,72.4,72.54,72.57,73.12,73.4,73.46,73.42,72.92,72.69,72.13,72.77
PS,1991,72.34,72.68,71.94,72.27,72.62,73.02,73.45,73.55,73.29,72.86,72.5,72.56,72.76
PS,1992,72.48,72.49,72.39,72.69,72.97,72.91,73.27,73.49,73.21,73.01,72.41,72.21,72.79
PS,1993,72.29,72.22,72.54,72.35,72.81,72.89,73.11,73.4,73.19,72.95,72.47,72.45,72.73
PS,1994,72.47,72.18,72.6,72.53,72.92,73.2,73.38,73.53,73.36,72.72,72.32,72.57,72.82
PS,1995,72.29,72.63,72.39,72.24,72.44,73.02,73.41,73.36,73.25,72.82,72.71,72.47,72.75
PS,1996,72.09,72.37,72.31,72.51,72.68,73.27,73.46,73.48,72.95,72.76,72.57,72.19,72.72
PS,1997,72.25,72.38,72.64,72.33,72.93,72.97,73.42,73.53,73.32,72.76,72.48,72.34,72.78
PS,1998,72.15,71.87,72.15,72.38,72.69,72.84,73.52,73.62,73.22,72.87,72.56,72.53,72.71
PS,1999,72.35,72.43,72.42,72.31,72.61,73.01,73.42,73.53,73.14,73.19,73.09,72.64,72.85
PS,2000,72.44,72.51,72.4,72.7,72.75,73.15,73.45,73.53,73.21,72.92,72.31,72.52,72.83
PS,2001,72.47,72.29,72.39,72.47,72.91,73.13,73.44,73.55,73.3,72.91,72.74,72.28,72.83
PS,2002,72.32,72.6,72.28,72.55,72.76,73.12,73.51,73.38,73.13,72.75,72.74,72.35,72.79
