-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  32.7644   Longitude -83.1188 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 127.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.48,100.67,100.02,100.54,99.88,100.06,100.12,100.16,100.18,100.45,100.36,100.39,100.27
PS,1982,100.52,100.53,100.35,100.25,100.22,99.89,100.24,100.27,100.22,100.45,100.69,100.68,100.36
PS,1983,100.43,100.1,99.62,99.84,100.1,100.09,100.23,100.21,100.38,100.48,100.18,100.59,100.19
PS,1984,100.7,100.21,100.06,99.81,100.24,100.19,100.23,100.18,100.35,100.54,100.61,100.78,100.33
PS,1985,100.34,100.63,100.45,100.33,99.91,100.0,100.19,100.28,100.48,100.36,100.33,100.65,100.33
PS,1986,100.63,100.07,100.48,100.08,100.11,100.06,100.17,100.14,100.47,100.49,100.5,100.62,100.32
PS,1987,100.19,100.31,100.12,99.88,100.34,100.16,100.24,100.13,100.07,100.53,100.58,100.46,100.25
PS,1988,100.97,100.58,100.45,99.77,100.03,100.07,100.3,100.1,100.27,100.45,100.31,100.85,100.35
PS,1989,100.75,100.73,100.36,100.2,100.15,100.16,100.25,100.12,100.12,100.44,100.35,100.48,100.34
PS,1990,100.59,100.7,100.72,100.37,100.09,100.15,100.2,100.13,100.22,100.27,100.59,100.74,100.4
PS,1991,100.64,100.52,99.9,100.28,100.31,100.15,100.1,100.22,100.42,100.39,100.67,100.82,100.37
PS,1992,100.37,100.21,100.19,100.22,100.17,99.75,100.24,100.28,100.37,100.33,100.46,100.69,100.27
PS,1993,100.69,100.43,100.25,100.07,100.1,100.17,100.1,100.18,100.21,100.22,100.67,100.43,100.29
PS,1994,100.73,100.69,100.08,100.44,100.05,100.03,100.27,100.3,100.25,100.24,100.52,100.59,100.35
PS,1995,100.33,100.41,100.4,100.06,99.97,99.97,100.04,99.89,100.16,100.13,100.49,100.55,100.2
PS,1996,100.37,100.26,100.29,100.15,100.27,100.11,100.09,100.26,99.9,100.33,100.74,100.56,100.28
PS,1997,100.55,100.72,100.35,100.02,100.16,99.9,100.05,100.18,99.99,100.33,100.19,100.01,100.2
PS,1998,100.32,99.74,100.3,100.01,99.81,99.95,100.04,100.15,99.96,100.5,100.45,100.68,100.16
PS,1999,100.66,100.44,100.28,100.07,100.1,100.21,100.26,99.81,99.91,100.42,100.6,100.62,100.28
PS,2000,100.68,100.79,100.24,100.1,100.12,100.3,99.96,100.18,100.07,100.64,100.33,100.78,100.35
PS,2001,100.57,100.75,99.92,100.56,100.2,100.18,100.11,100.22,100.13,100.59,100.63,100.42,100.35
PS,2002,100.47,100.59,100.51,100.44,100.3,100.15,100.2,100.2,100.04,100.19,100.34,100.46,100.32
PS,2003,100.53,100.25,99.94,100.11,100.0,99.95,100.22,100.19,100.17,100.14,100.52,100.57,100.21
PS,2004,100.5,100.6,100.7,100.16,100.35,100.19,99.96,100.06,100.02,100.2,100.58,100.62,100.33
PS,2005,100.81,100.5,99.82,100.02,100.02,99.95,100.11,100.03,100.2,100.04,100.41,100.35,100.19
PS,2006,100.38,100.4,100.38,100.08,99.86,99.98,100.24,100.02,100.02,100.13,100.34,100.83,100.22
PS,2007,100.71,100.31,100.66,100.07,100.38,100.01,100.05,100.0,100.3,100.23,100.55,100.53,100.32
PS,2008,100.79,100.33,100.4,100.24,99.86,100.09,100.07,99.79,100.16,100.53,100.43,100.66,100.28
PS,2009,100.44,100.71,100.52,100.2,100.18,99.69,99.98,100.16,100.16,100.15,100.31,100.39,100.24
PS,2010,100.39,100.0,99.86,100.17,100.13,100.06,100.14,99.93,99.99,100.13,100.44,100.33,100.13
PS,2011,100.29,100.47,100.38,100.09,99.96,99.95,99.95,99.69,99.98,100.17,100.56,100.79,100.19
PS,2012,100.55,100.5,100.52,100.03,100.0,99.95,100.1,100.05,100.19,100.03,100.63,100.36,100.24
PS,2013,100.72,100.26,100.27,100.36,100.28,100.01,100.22,100.22,100.1,100.3,100.75,100.62,100.34
PS,2014,100.54,100.28,100.23,100.13,100.34,100.1,100.1,100.05,100.22,100.08,100.56,100.59,100.27
PS,2015,100.71,100.48,100.54,100.1,100.55,100.11,99.98,100.0,100.07,100.16,100.63,100.49,100.32
PS,2016,100.37,100.4,100.28,100.29,100.1,100.03,100.2,100.19,100.17,100.42,100.55,100.7,100.31
PS,2017,100.34,100.28,100.69,100.18,99.87,100.07,100.16,100.09,100.0,100.35,100.47,100.53,100.25
PS,2018,100.97,100.86,100.19,100.14,100.18,99.98,100.09,100.28,100.17,100.28,100.36,100.4,100.32
PS,2019,100.51,100.54,100.52,100.13,100.05,99.98,100.11,99.95,100.17,100.11,100.41,100.38,100.24
PS,2020,100.66,100.45,100.54,99.92,100.19,100.19,100.02,99.97,100.15,100.26,100.67,100.48,100.29
PS,2021,100.33,100.31,100.55,100.11,100.43,100.17,100.2,100.18,100.11,100.07,100.61,100.4,100.29
PS,2022,100.43,100.73,100.29,100.25,100.06,100.0,100.17,100.17,100.06,100.24,100.5,100.67,100.3
TS,1981,3.09,7.48,10.5,18.74,21.39,28.46,29.84,26.1,23.83,16.97,11.14,4.83,16.9
TS,1982,4.44,9.23,13.71,15.48,21.5,25.66,26.71,26.65,23.17,17.7,12.71,10.33,17.32
TS,1983,4.25,6.3,10.81,13.94,20.07,23.75,29.02,28.69,22.28,18.24,11.18,5.31,16.22
TS,1984,4.13,8.13,11.64,15.73,20.31,25.83,25.89,25.62,22.98,21.81,10.72,11.33,17.04
TS,1985,3.33,7.61,12.94,17.6,22.44,27.15,26.86,26.0,23.48,20.66,16.72,4.61,17.49
TS,1986,4.38,9.87,11.85,17.57,22.96,28.64,30.94,26.82,24.26,18.33,15.19,6.69,18.15
TS,1987,4.97,6.21,11.58,14.55,22.12,25.62,28.04,28.9,24.07,14.86,13.32,9.26,17.02
TS,1988,3.01,6.19,11.51,16.54,20.98,26.39,28.15,27.6,23.23,14.58,12.78,6.58,16.48
TS,1989,8.73,9.22,13.1,15.61,20.22,25.3,25.94,26.4,23.56,16.47,11.55,2.46,16.58
TS,1990,8.38,11.17,13.69,15.74,21.31,27.3,28.74,28.72,25.42,18.35,12.06,9.61,18.41
TS,1991,6.65,8.99,13.06,18.17,23.05,24.4,26.87,25.49,23.5,18.01,10.56,8.99,17.36
TS,1992,6.28,9.01,11.62,15.64,20.4,24.89,27.33,25.39,22.86,15.65,11.55,6.66,16.46
TS,1993,7.97,5.85,9.64,14.13,20.62,26.62,30.77,28.3,25.37,18.12,10.7,5.87,17.06
TS,1994,3.98,9.16,12.86,17.73,21.36,26.01,25.3,24.51,21.63,16.22,12.97,8.46,16.71
TS,1995,6.35,7.19,13.29,17.01,23.47,24.73,28.88,28.23,23.32,18.55,9.2,5.81,17.23
TS,1996,5.85,8.12,9.3,15.19,22.69,25.86,28.11,26.55,23.69,16.89,10.3,7.53,16.69
TS,1997,7.24,9.87,15.38,15.29,20.29,24.2,28.22,26.21,24.77,17.01,9.51,6.85,17.12
TS,1998,8.05,8.97,10.83,16.34,23.13,27.72,29.45,27.22,24.09,18.42,14.33,10.67,18.32
TS,1999,8.37,9.79,10.64,19.68,22.76,25.97,27.98,29.33,23.25,17.43,13.56,7.48,18.06
TS,2000,6.04,9.22,14.4,16.51,25.23,28.14,29.21,27.44,22.14,16.77,11.21,2.8,17.45
TS,2001,4.99,10.53,10.9,17.25,21.82,24.18,26.64,27.12,22.57,16.83,15.44,10.5,17.43
TS,2002,7.83,7.67,13.53,19.71,22.7,26.59,29.01,28.01,25.33,19.86,10.65,6.03,18.13
TS,2003,4.62,8.27,14.09,16.9,21.87,24.4,25.83,26.19,22.56,18.13,14.76,5.35,16.96
TS,2004,5.98,6.55,14.1,17.87,25.08,27.22,28.44,26.69,22.71,19.07,13.38,6.65,17.85
TS,2005,8.37,9.04,11.22,15.42,20.62,25.61,27.84,26.96,25.84,18.89,13.43,6.38,17.51
TS,2006,10.04,7.94,12.94,20.03,23.32,27.63,29.45,28.9,23.39,17.66,11.78,9.94,18.65
TS,2007,8.26,6.76,14.39,15.95,23.06,26.84,26.77,29.9,24.34,20.14,11.9,10.79,18.33
TS,2008,5.3,9.3,11.98,16.65,22.05,28.12,28.17,27.03,24.51,16.98,10.12,9.81,17.52
TS,2009,6.45,7.61,12.73,16.25,21.31,26.77,27.72,27.24,23.58,16.85,11.78,6.69,17.13
TS,2010,3.64,4.18,10.07,17.38,23.01,27.95,29.26,28.55,25.52,17.49,11.84,3.23,16.9
TS,2011,3.79,9.1,13.66,19.06,23.86,29.69,29.94,29.83,24.69,16.43,12.61,9.78,18.58
TS,2012,8.99,10.74,17.48,20.1,24.6,25.62,28.69,25.87,23.87,18.36,10.87,10.08,18.8
TS,2013,10.05,7.85,9.05,16.48,19.83,25.0,25.66,25.19,23.15,18.52,11.08,9.49,16.83
TS,2014,2.83,7.86,10.38,16.65,21.48,26.05,27.09,27.25,24.73,18.95,9.37,9.4,16.89
TS,2015,5.9,5.13,13.86,18.8,22.61,27.48,29.14,27.61,23.48,17.7,14.21,13.83,18.39
TS,2016,5.39,8.54,15.12,16.76,21.26,27.73,30.06,28.8,25.73,20.3,14.38,9.87,18.69
TS,2017,10.46,12.3,13.26,20.19,22.96,25.46,27.69,26.84,23.84,19.54,12.84,8.17,18.66
TS,2018,4.23,14.12,11.95,16.18,23.6,27.16,27.88,27.22,27.76,20.18,10.94,8.65,18.33
TS,2019,7.76,12.29,12.37,17.62,25.6,26.97,29.23,28.69,27.9,21.73,10.2,9.48,19.19
TS,2020,9.55,9.92,16.05,16.75,20.16,25.25,29.26,27.88,23.49,20.04,15.19,7.18,18.42
TS,2021,7.47,8.96,14.49,16.63,21.94,26.26,27.52,27.81,23.48,18.93,10.62,12.33,18.1
TS,2022,6.2,10.23,14.27,17.42,24.15,28.73,28.54,26.83,23.48,17.24,13.94,8.01,18.29
