-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  40.309   Longitude -89.447 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 204.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,99.59,99.34,99.11,99.1,99.01,98.88,99.19,99.18,99.25,99.47,99.34,99.33,99.23
PS,1982,99.34,99.8,99.22,99.23,99.01,99.01,99.14,99.33,99.35,99.4,99.44,99.34,99.3
PS,1983,99.48,99.25,98.72,98.65,98.83,99.04,99.27,99.28,99.36,99.47,98.81,99.66,99.15
PS,1984,99.79,99.02,99.16,98.62,99.12,99.05,99.25,99.2,99.48,99.42,99.44,99.45,99.25
PS,1985,99.44,99.67,99.22,99.01,98.84,98.97,99.13,99.32,99.42,99.41,99.32,99.5,99.27
PS,1986,99.54,99.1,99.25,98.99,99.05,99.06,99.14,99.37,99.28,99.47,99.69,99.73,99.31
PS,1987,99.26,99.53,99.21,99.04,99.25,99.05,99.16,99.18,99.13,99.57,99.46,99.19,99.25
PS,1988,99.71,99.56,99.24,98.89,99.1,99.29,99.24,99.1,99.21,99.5,98.81,99.63,99.28
PS,1989,99.48,100.05,99.47,99.12,99.12,99.08,99.28,99.2,99.52,99.43,99.04,99.66,99.37
PS,1990,99.08,99.48,99.63,99.26,98.93,98.98,99.28,99.36,99.29,99.29,99.36,99.54,99.29
PS,1991,99.73,99.43,98.64,99.04,99.18,99.25,99.14,99.35,99.53,99.23,99.45,99.73,99.31
PS,1992,99.33,99.29,99.11,99.13,99.46,98.89,98.97,99.49,99.4,99.33,99.22,99.57,99.27
PS,1993,99.84,99.67,99.38,98.86,99.01,99.05,99.06,99.23,99.25,99.31,99.44,99.32,99.28
PS,1994,99.77,99.67,99.21,99.15,99.3,98.97,99.13,99.31,99.32,99.34,99.33,99.81,99.36
PS,1995,99.3,99.42,99.54,98.88,98.92,99.05,99.02,99.13,99.42,98.92,99.29,99.66,99.21
PS,1996,99.24,99.19,99.37,98.85,99.05,99.02,99.11,99.45,99.07,99.22,99.78,99.15,99.21
PS,1997,99.37,99.67,99.35,99.17,99.01,98.86,99.22,99.23,99.21,99.35,99.16,99.07,99.22
PS,1998,99.26,98.92,99.1,98.86,98.73,98.71,99.19,99.32,99.05,99.61,99.35,99.72,99.16
PS,1999,99.37,99.28,99.58,98.85,98.96,99.19,99.18,99.17,99.18,99.5,99.58,99.42,99.27
PS,2000,99.62,99.5,99.27,99.07,98.78,99.13,99.09,99.2,99.21,99.74,99.25,99.88,99.31
PS,2001,99.54,99.72,99.3,99.19,98.93,99.17,99.13,99.18,99.34,99.27,99.46,99.28,99.29
PS,2002,99.2,99.45,99.41,99.29,99.23,99.11,99.26,99.32,99.21,99.43,99.23,99.28,99.29
