-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  42.0291   Longitude -93.402 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 301.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,98.46,98.04,97.95,97.81,97.87,97.63,98.02,98.0,98.09,98.23,98.16,98.1,98.03
PS,1982,98.18,98.6,97.98,97.98,97.69,97.88,97.92,98.17,98.13,98.02,98.17,98.06,98.06
PS,1983,98.29,98.05,97.58,97.6,97.66,97.77,98.03,98.13,98.09,98.32,97.57,98.52,97.97
PS,1984,98.55,97.81,98.1,97.51,97.98,97.79,98.07,98.04,98.24,98.11,98.09,98.18,98.04
PS,1985,98.35,98.47,97.99,97.76,97.61,97.83,97.95,98.13,98.1,98.18,98.26,98.34,98.08
PS,1986,98.29,98.01,97.94,97.72,97.9,97.89,97.91,98.25,98.02,98.31,98.44,98.51,98.1
PS,1987,98.08,98.38,98.0,97.97,98.0,97.93,97.9,98.04,98.01,98.4,98.24,98.01,98.08
PS,1988,98.37,98.44,97.99,97.81,97.85,98.08,98.09,97.87,97.96,98.35,97.52,98.35,98.06
PS,1989,98.13,98.98,98.29,97.89,97.91,97.93,98.18,98.02,98.37,98.26,97.83,98.5,98.19
PS,1990,97.77,98.3,98.31,98.05,97.78,97.71,98.11,98.16,98.16,98.02,98.05,98.32,98.06
PS,1991,98.54,98.23,97.4,97.79,97.91,98.03,98.0,98.23,98.3,98.02,98.18,98.49,98.09
PS,1992,98.08,98.14,97.96,97.92,98.29,97.76,97.83,98.35,98.13,98.13,98.06,98.26,98.08
PS,1993,98.68,98.56,98.27,97.72,97.8,97.78,97.8,98.05,98.1,98.13,98.14,98.08,98.09
PS,1994,98.59,98.46,98.06,97.93,98.11,97.79,97.95,98.13,98.08,98.1,98.04,98.59,98.15
PS,1995,98.17,98.28,98.28,97.67,97.74,97.91,97.8,97.9,98.21,97.69,98.09,98.49,98.02
PS,1996,98.08,97.99,98.23,97.69,97.86,97.86,97.99,98.28,97.94,97.93,98.53,97.95,98.03
PS,1997,98.16,98.51,98.17,97.98,97.91,97.71,98.05,98.08,98.05,98.03,98.01,97.96,98.05
PS,1998,98.07,97.75,97.99,97.67,97.57,97.51,98.08,98.14,97.89,98.35,98.06,98.47,97.97
PS,1999,98.22,97.99,98.42,97.7,97.69,97.98,97.92,98.08,98.05,98.3,98.32,98.19,98.07
PS,2000,98.4,98.22,98.11,97.95,97.52,97.87,97.98,98.01,97.99,98.5,98.01,98.75,98.11
PS,2001,98.3,98.57,98.22,97.86,97.69,97.94,97.98,98.05,98.24,97.99,98.11,97.99,98.07
PS,2002,97.94,98.19,98.25,98.04,98.01,97.84,98.06,98.16,98.0,98.3,98.08,98.01,98.08
