-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  37.6449   Longitude -84.9645 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 283.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,98.64,98.68,98.2,98.51,98.1,98.25,98.39,98.38,98.44,98.64,98.51,98.47,98.43
PS,1982,98.46,98.77,98.4,98.42,98.35,98.11,98.38,98.48,98.53,98.69,98.79,98.7,98.5
PS,1983,98.59,98.33,97.8,97.86,98.14,98.3,98.53,98.43,98.6,98.65,98.18,98.72,98.35
PS,1984,98.9,98.23,98.18,97.82,98.33,98.36,98.41,98.39,98.68,98.7,98.74,98.77,98.46
PS,1985,98.45,98.79,98.5,98.38,98.07,98.18,98.33,98.49,98.75,98.63,98.45,98.64,98.47
PS,1986,98.72,98.14,98.56,98.23,98.26,98.31,98.39,98.41,98.63,98.68,98.73,98.84,98.49
PS,1987,98.33,98.51,98.33,98.06,98.49,98.32,98.47,98.36,98.31,98.74,98.73,98.45,98.42
PS,1988,99.0,98.64,98.47,97.93,98.25,98.35,98.45,98.33,98.49,98.66,98.25,98.87,98.48
PS,1989,98.81,98.94,98.5,98.32,98.29,98.26,98.43,98.38,98.51,98.64,98.34,98.66,98.5
PS,1990,98.5,98.66,98.86,98.48,98.16,98.33,98.43,98.44,98.44,98.53,98.7,98.72,98.52
PS,1991,98.76,98.59,97.94,98.35,98.47,98.39,98.32,98.46,98.68,98.57,98.79,98.89,98.52
PS,1992,98.48,98.37,98.27,98.33,98.47,97.99,98.29,98.57,98.64,98.52,98.53,98.77,98.44
PS,1993,98.87,98.62,98.4,98.1,98.25,98.36,98.35,98.4,98.4,98.45,98.75,98.47,98.45
PS,1994,98.84,98.78,98.25,98.43,98.38,98.15,98.36,98.49,98.49,98.53,98.65,98.86,98.52
PS,1995,98.37,98.49,98.63,98.13,98.12,98.21,98.28,98.24,98.49,98.28,98.56,98.71,98.38
PS,1996,98.36,98.36,98.37,98.14,98.33,98.29,98.29,98.59,98.17,98.51,98.88,98.46,98.4
PS,1997,98.58,98.83,98.49,98.28,98.24,98.04,98.35,98.42,98.3,98.56,98.3,98.15,98.37
PS,1998,98.42,97.96,98.29,98.06,97.93,98.06,98.33,98.49,98.22,98.77,98.6,98.86,98.34
PS,1999,98.6,98.51,98.54,98.12,98.26,98.38,98.43,98.19,98.28,98.68,98.79,98.64,98.45
PS,2000,98.78,98.79,98.4,98.19,98.2,98.44,98.23,98.44,98.38,98.91,98.44,98.91,98.51
PS,2001,98.69,98.86,98.22,98.57,98.26,98.39,98.32,98.4,98.45,98.68,98.79,98.51,98.51
PS,2002,98.49,98.71,98.6,98.59,98.47,98.38,98.43,98.48,98.34,98.45,98.43,98.48,98.49
PS,2003,98.68,98.31,98.11,98.18,98.06,98.13,98.32,98.39,98.45,98.34,98.6,98.59,98.35
PS,2004,98.6,98.8,98.74,98.31,98.37,98.4,98.2,98.4,98.52,98.28,98.7,98.63,98.49
PS,2005,98.89,98.66,97.95,98.04,98.29,98.19,98.3,98.27,98.54,98.43,98.45,98.45,98.37
PS,2006,98.28,98.51,98.5,98.13,98.0,98.32,98.43,98.28,98.25,98.31,98.57,98.94,98.38
PS,2007,98.74,98.47,98.69,98.19,98.64,98.25,98.27,98.27,98.59,98.43,98.68,98.57,98.48
PS,2008,98.82,98.3,98.42,98.33,97.93,98.26,98.3,98.16,98.48,98.8,98.54,98.66,98.42
PS,2009,98.49,98.71,98.64,98.16,98.32,97.92,98.18,98.42,98.42,98.29,98.58,98.48,98.38
PS,2010,98.58,98.21,98.02,98.19,98.25,98.23,98.36,98.21,98.28,98.33,98.54,98.53,98.31
PS,2011,98.42,98.47,98.52,97.92,98.09,98.19,98.21,98.03,98.22,98.37,98.52,98.85,98.32
PS,2012,98.46,98.61,98.54,98.24,98.25,98.19,98.27,98.24,98.38,98.25,98.88,98.33,98.38
PS,2013,98.83,98.34,98.37,98.44,98.36,98.12,98.42,98.45,98.37,98.5,99.0,98.71,98.49
PS,2014,98.54,98.51,98.41,98.16,98.39,98.24,98.34,98.29,98.54,98.17,98.66,98.82,98.42
PS,2015,98.86,98.73,98.75,98.2,98.71,98.25,98.15,98.32,98.43,98.49,98.8,98.45,98.51
PS,2016,98.52,98.4,98.32,98.36,98.3,98.26,98.33,98.41,98.47,98.65,98.73,98.84,98.47
PS,2017,98.35,98.34,98.77,98.21,97.91,98.23,98.33,98.36,98.37,98.51,98.64,98.69,98.39
PS,2018,99.13,98.86,98.31,98.32,98.26,98.15,98.39,98.42,98.49,98.55,98.51,98.5,98.49
PS,2019,98.63,98.6,98.72,98.14,98.17,98.14,98.34,98.21,98.49,98.35,98.63,98.49,98.41
PS,2020,98.73,98.48,98.59,98.07,98.33,98.32,98.24,98.2,98.47,98.51,98.87,98.53,98.44
PS,2021,98.46,98.58,98.7,98.26,98.64,98.31,98.37,98.41,98.34,98.19,98.8,98.34,98.45
PS,2022,98.62,98.81,98.33,98.34,98.17,98.29,98.25,98.36,98.41,98.47,98.74,98.67,98.45
TS,1981,-3.11,1.26,4.65,14.75,15.49,22.44,24.2,23.25,18.82,12.55,6.76,-0.44,11.76
TS,1982,-2.66,-0.04,8.12,9.77,19.58,20.37,24.59,23.05,18.01,13.09,7.57,5.61,12.33
TS,1983,-0.65,1.84,6.84,10.06,15.51,21.26,24.4,27.2,21.69,14.64,6.88,-2.71,12.3
TS,1984,-3.41,3.1,4.42,11.19,15.69,22.77,22.49,24.51,19.55,17.07,4.42,5.73,12.32
TS,1985,-4.54,-2.75,8.12,13.75,17.81,21.23,24.38,23.47,19.77,15.69,11.06,-1.25,12.3
TS,1986,-0.88,2.61,7.02,12.98,18.33,23.67,27.23,23.9,21.87,14.08,7.23,1.0,13.3
TS,1987,-0.58,1.55,6.98,11.11,20.05,23.11,25.19,26.06,20.76,10.96,8.7,3.07,13.15
TS,1988,-2.05,-0.08,6.28,11.63,16.99,23.87,26.23,26.4,19.98,9.64,7.16,1.12,12.3
TS,1989,2.59,-0.52,7.22,11.14,15.23,21.29,23.62,23.3,19.67,12.56,6.05,-4.45,11.54
TS,1990,2.9,5.4,8.13,11.17,16.3,21.76,24.7,24.55,21.05,12.95,8.23,3.21,13.4
TS,1991,-0.05,2.48,7.7,14.01,20.56,22.58,25.15,25.08,21.12,14.25,5.62,3.15,13.54
TS,1992,0.65,4.03,6.75,12.1,16.15,20.12,23.65,21.12,19.15,12.25,6.42,1.61,12.01
TS,1993,2.19,0.31,4.69,10.97,17.73,22.19,26.73,25.6,20.17,12.61,5.99,1.1,12.6
TS,1994,-3.54,1.53,4.97,13.6,15.37,22.84,24.2,23.43,19.23,13.56,9.48,3.79,12.42
TS,1995,0.17,0.04,7.53,12.71,17.54,21.64,24.29,26.76,20.0,12.85,3.44,0.35,12.35
TS,1996,-1.52,1.4,3.48,10.51,18.84,21.91,22.63,23.08,19.06,12.9,3.8,3.35,11.65
TS,1997,-0.49,3.83,8.44,9.3,14.9,21.08,24.08,22.8,19.91,13.45,4.69,1.51,12.01
TS,1998,3.86,4.04,6.65,11.83,19.48,22.69,24.01,23.61,23.65,14.85,8.47,3.91,13.98
TS,1999,1.77,3.83,3.98,14.09,18.36,23.32,27.92,25.65,21.2,13.55,9.82,2.69,13.9
TS,2000,0.12,4.13,8.99,11.51,19.0,22.91,24.59,24.44,20.2,15.28,5.83,-3.57,12.81
TS,2001,-1.56,3.9,4.52,14.63,18.94,22.33,25.33,24.89,19.58,13.04,10.02,4.57,13.39
TS,2002,2.51,2.54,6.87,13.99,16.74,22.96,25.87,26.0,22.8,13.81,5.64,0.76,13.43
TS,2003,-2.51,-0.06,8.21,13.44,18.02,20.4,23.55,24.23,18.4,13.15,9.38,1.24,12.36
TS,2004,-0.77,0.99,8.36,12.42,20.27,21.9,23.25,21.1,19.83,15.03,9.16,0.9,12.73
TS,2005,2.77,3.55,5.08,13.15,16.42,23.35,25.87,26.57,22.46,14.79,8.59,-0.24,13.58
TS,2006,4.73,1.15,7.23,15.1,16.69,21.42,25.21,25.85,18.22,11.48,6.9,4.2,13.26
TS,2007,2.4,-1.89,10.83,11.1,19.14,23.83,24.49,28.08,23.11,17.12,6.71,4.12,14.19
TS,2008,-0.17,1.86,6.29,12.43,16.33,22.73,24.15,24.4,23.01,14.13,5.62,1.56,12.72
TS,2009,-1.48,1.94,7.92,12.5,17.52,22.81,21.78,22.88,20.37,11.68,8.11,0.78,12.28
TS,2010,-2.36,-2.5,6.61,14.56,19.41,24.52,25.22,25.51,21.44,14.45,7.43,-3.52,12.64
TS,2011,-2.09,3.08,7.32,14.17,17.52,22.89,25.82,24.75,18.88,12.31,8.83,3.49,13.12
TS,2012,2.4,4.02,13.09,13.57,20.19,22.87,27.56,24.48,20.03,12.29,5.03,5.01,14.26
TS,2013,1.21,1.37,3.15,12.15,17.7,22.23,22.87,22.73,19.88,13.41,4.75,1.08,11.94
TS,2014,-3.85,-1.16,3.64,13.5,18.25,22.78,23.54,24.19,20.42,13.78,2.9,3.08,11.83
TS,2015,-0.73,-3.83,5.87,13.38,19.26,22.91,24.24,22.43,21.61,13.84,9.6,8.56,13.19
TS,2016,-1.05,2.4,9.9,13.34,16.9,23.23,25.28,25.17,22.72,17.21,9.37,1.44,13.85
TS,2017,4.37,6.75,8.01,15.7,18.08,22.06,25.53,23.23,19.78,14.58,7.44,1.19,13.93
TS,2018,-2.01,6.09,5.34,9.45,21.39,23.73,24.17,24.09,22.73,14.22,4.54,3.58,13.15
TS,2019,0.61,4.48,5.19,13.96,19.92,21.76,24.77,25.21,25.16,15.73,4.05,4.74,13.85
TS,2020,3.24,3.35,9.92,11.26,16.54,22.02,25.48,24.34,19.64,14.29,8.77,1.55,13.4
TS,2021,0.88,-0.92,9.19,11.83,16.7,22.74,24.16,25.08,20.72,16.3,5.26,7.59,13.39
TS,2022,-1.33,2.23,8.22,11.76,19.53,23.63,26.41,24.37,20.7,12.81,7.81,2.53,13.28
QV2M,1981,2.56,4.03,4.33,8.42,8.91,14.34,15.32,12.51,9.34,6.47,5.13,3.23,7.87
QV2M,1982,3.17,3.78,6.23,6.23,11.72,12.08,14.71,12.15,10.86,7.63,5.92,5.68,8.36
QV2M,1983,3.36,3.91,5.31,6.71,9.46,12.82,15.2,13.18,9.03,7.39,5.31,3.23,7.93
QV2M,1984,2.87,4.58,4.82,7.39,9.52,14.28,12.7,12.57,8.24,9.64,4.64,5.98,8.12
QV2M,1985,2.75,3.36,6.1,8.24,10.31,12.76,13.43,12.63,9.16,8.85,7.69,3.23,8.24
QV2M,1986,3.11,4.7,5.25,7.26,10.44,12.88,13.67,11.35,12.15,7.93,6.04,3.85,8.24
QV2M,1987,3.42,3.91,5.43,6.96,12.15,13.31,14.22,12.33,9.64,4.39,5.13,4.09,7.93
QV2M,1988,3.05,3.48,5.25,6.77,8.85,9.09,12.76,12.57,10.68,5.37,5.55,3.66,7.26
QV2M,1989,4.39,3.6,6.16,7.51,9.09,13.61,15.32,13.92,11.54,7.57,5.37,2.62,8.42
QV2M,1990,4.39,5.37,6.23,7.08,9.7,13.18,13.24,12.08,10.56,7.08,5.74,4.7,8.3
QV2M,1991,3.72,4.46,6.1,8.79,13.24,14.34,15.01,12.33,10.74,7.26,4.94,4.52,8.79
QV2M,1992,3.85,4.64,5.62,7.69,9.58,12.45,15.69,13.0,11.41,6.65,5.43,3.97,8.36
QV2M,1993,4.03,3.54,5.0,6.77,10.19,13.55,15.44,13.06,9.95,6.9,5.25,3.97,8.18
QV2M,1994,3.05,4.15,5.13,8.85,8.91,14.53,14.65,12.33,8.79,6.84,5.68,4.7,8.12
QV2M,1995,3.91,3.6,5.62,7.51,10.74,13.61,14.53,14.89,9.09,7.51,4.39,3.66,8.3
QV2M,1996,3.36,4.33,4.58,6.71,11.84,13.73,13.98,13.24,10.25,7.69,4.39,4.82,8.24
QV2M,1997,3.85,4.82,6.29,5.8,8.67,13.92,14.71,12.45,9.34,6.71,4.7,3.97,7.93
QV2M,1998,4.94,4.76,5.74,7.39,12.15,15.2,15.44,12.82,10.19,7.02,5.19,4.88,8.85
QV2M,1999,4.46,4.64,4.15,8.42,9.89,12.27,13.92,9.7,6.9,6.23,5.68,3.85,7.51
QV2M,2000,3.6,4.64,5.68,6.96,10.99,12.57,12.7,12.88,10.25,7.02,4.76,2.56,7.87
QV2M,2001,3.17,4.58,4.27,8.42,10.19,11.72,13.24,13.85,9.09,6.29,5.92,5.0,8.0
QV2M,2002,4.58,3.78,5.62,8.85,10.07,14.22,15.14,12.51,10.74,8.67,5.13,3.91,8.61
QV2M,2003,2.87,3.66,6.29,8.3,11.23,12.33,15.14,14.95,10.8,7.26,6.65,3.72,8.61
QV2M,2004,3.54,3.6,6.16,7.63,13.06,13.98,15.32,13.0,11.6,8.91,6.65,4.09,8.97
QV2M,2005,4.94,4.64,4.88,8.06,9.4,13.49,15.01,13.73,10.93,7.45,5.07,3.3,8.42
QV2M,2006,4.82,3.6,5.49,8.85,9.7,12.63,13.98,14.47,10.25,7.45,5.8,4.88,8.54
QV2M,2007,4.39,2.99,7.39,6.96,10.07,11.78,12.51,13.18,10.13,8.3,5.19,4.94,8.18
QV2M,2008,3.66,4.27,5.68,7.81,9.52,13.73,13.24,11.66,10.01,6.04,4.33,3.91,7.81
QV2M,2009,3.23,4.21,6.04,7.81,10.86,15.14,13.55,13.98,11.66,7.45,5.92,3.72,8.67
QV2M,2010,3.17,2.99,5.49,8.18,12.15,16.17,15.93,14.83,9.7,5.74,5.07,2.75,8.54
QV2M,2011,2.93,4.52,5.74,9.16,11.35,14.59,17.15,13.0,10.38,6.59,6.1,4.7,8.91
QV2M,2012,4.27,4.88,8.73,8.0,12.15,11.05,14.65,11.29,10.68,7.02,4.15,5.31,8.54
QV2M,2013,4.33,3.72,4.21,7.75,10.93,14.04,14.77,14.28,11.6,8.3,4.58,4.27,8.61
QV2M,2014,2.69,3.36,4.52,8.12,11.11,14.22,12.27,13.73,10.93,8.18,4.15,4.46,8.18
QV2M,2015,3.23,2.56,5.43,8.36,11.35,14.77,16.54,13.24,10.74,7.69,6.47,6.84,8.97
QV2M,2016,3.3,4.39,6.84,7.75,10.19,14.4,16.3,15.81,10.99,8.0,5.13,3.91,8.91
QV2M,2017,5.25,5.74,5.86,9.16,10.8,12.63,14.53,12.63,10.68,8.12,5.68,3.6,8.73
QV2M,2018,3.17,6.04,5.0,6.35,13.73,15.44,15.32,14.83,13.98,9.22,4.94,4.7,9.4
QV2M,2019,3.85,5.25,4.88,8.42,12.45,13.98,16.3,13.79,11.41,8.0,4.39,5.19,9.03
QV2M,2020,4.7,4.7,7.32,6.96,10.31,13.73,16.3,13.92,11.35,8.06,6.04,3.91,8.97
QV2M,2021,3.72,3.54,6.47,7.39,9.46,14.16,14.83,14.59,11.41,9.95,4.46,6.23,8.91
QV2M,2022,3.3,4.15,5.92,7.32,11.66,12.88,15.69,14.83,10.44,5.31,5.13,4.39,8.42
RH2M,1981,79.62,80.75,77.25,75.62,77.75,82.62,80.25,70.31,67.44,68.94,76.31,82.62,76.62
RH2M,1982,83.62,89.06,82.94,77.19,79.31,78.88,75.5,70.12,80.69,73.62,79.5,85.75,79.62
RH2M,1983,86.69,84.06,80.12,80.75,81.94,78.12,76.5,60.31,55.31,70.88,78.94,86.81,76.69
RH2M,1984,88.94,86.25,84.94,83.31,81.0,80.31,73.38,67.31,59.06,77.0,80.0,89.81,79.25
RH2M,1985,89.88,92.06,81.94,78.12,79.31,78.06,71.56,71.38,60.94,76.0,86.69,81.94,78.94
RH2M,1986,80.62,87.81,77.12,73.06,76.5,71.12,62.62,63.0,74.12,74.06,86.88,88.12,76.19
RH2M,1987,88.31,87.19,81.62,79.0,79.81,74.38,71.5,60.0,63.38,54.5,67.44,80.56,73.88
RH2M,1988,83.12,83.75,80.69,74.94,70.88,50.62,61.75,59.94,72.12,67.31,81.5,81.56,72.31
RH2M,1989,86.75,88.88,86.88,81.25,79.62,83.94,82.38,76.12,78.62,77.75,80.0,83.06,82.06
RH2M,1990,85.38,85.44,82.44,78.06,81.0,78.75,69.31,65.0,67.12,72.75,78.69,86.12,77.44
RH2M,1991,92.06,88.25,84.5,82.38,83.69,82.12,75.12,63.81,66.06,67.69,74.25,84.75,78.69
RH2M,1992,88.25,85.12,82.5,80.19,80.25,82.12,83.5,81.38,78.62,71.69,81.44,86.5,81.81
RH2M,1993,84.75,82.75,84.94,79.25,78.25,79.0,70.75,65.5,67.88,72.56,79.75,87.38,77.69
RH2M,1994,89.12,86.38,86.25,83.19,78.31,81.31,77.19,69.44,64.5,68.75,72.19,86.5,78.56
RH2M,1995,87.5,82.56,81.06,76.06,81.44,81.88,75.12,68.81,63.0,75.19,80.81,82.81,78.0
RH2M,1996,88.81,83.56,81.56,78.44,82.56,81.38,79.25,73.62,73.06,77.19,79.75,86.75,80.5
RH2M,1997,86.0,87.75,84.62,75.25,77.94,86.25,75.81,71.25,65.5,66.88,81.44,86.5,78.69
RH2M,1998,88.5,88.0,82.06,81.19,82.44,84.69,81.06,70.44,56.56,64.12,71.31,82.75,77.69
RH2M,1999,87.12,84.06,78.88,79.81,74.25,68.75,62.56,51.06,46.06,61.75,70.25,77.12,70.06
RH2M,2000,81.62,82.38,75.5,77.56,76.69,71.94,67.25,68.88,67.44,62.69,73.88,82.06,73.94
RH2M,2001,85.75,81.62,78.19,74.94,72.69,70.25,66.88,71.12,64.25,63.62,70.81,84.5,73.69
RH2M,2002,85.94,78.06,80.5,80.12,79.38,79.31,72.38,61.94,63.81,82.5,83.88,89.75,78.12
RH2M,2003,84.5,89.25,83.38,81.88,83.44,78.69,81.44,78.25,78.44,73.88,80.56,84.44,81.44
RH2M,2004,84.06,84.38,81.5,79.81,84.31,82.5,83.75,79.88,79.0,79.56,84.19,87.25,82.5
RH2M,2005,89.25,88.5,83.12,81.38,76.94,74.62,73.44,66.0,64.94,68.69,63.25,82.38,76.0
RH2M,2006,83.56,81.5,79.19,78.19,78.31,76.75,70.5,70.38,77.12,78.88,84.69,85.19,78.69
RH2M,2007,85.81,82.38,80.94,76.38,70.31,64.81,66.62,57.44,57.94,65.94,77.44,87.44,72.75
RH2M,2008,84.94,86.94,86.5,81.81,78.62,77.25,70.5,63.5,59.0,58.62,71.19,80.81,74.94
RH2M,2009,85.69,85.06,81.5,80.88,83.44,83.88,81.38,79.12,76.94,81.81,83.31,86.31,82.44
RH2M,2010,87.88,89.62,83.44,74.81,82.81,82.06,78.12,72.81,61.31,55.38,73.62,87.19,77.38
RH2M,2011,85.81,83.94,83.38,82.5,85.38,81.88,80.62,67.25,75.38,71.5,79.44,87.81,80.38
RH2M,2012,86.38,86.06,84.0,76.94,79.19,64.81,66.88,60.12,71.12,74.94,72.75,85.31,75.69
RH2M,2013,88.06,83.94,82.44,80.62,82.31,82.06,82.5,80.75,77.06,78.44,77.81,88.62,82.06
