-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  46.4342   Longitude -94.2809 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 394.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,97.21,96.73,96.78,96.68,96.84,96.31,96.96,96.9,97.0,96.93,96.98,96.84,96.85
PS,1982,96.95,97.27,96.68,96.79,96.67,96.76,96.72,97.04,96.93,96.7,96.93,96.76,96.85
PS,1983,97.02,96.9,96.69,96.68,96.71,96.62,96.76,97.03,96.8,97.14,96.58,97.24,96.85
PS,1984,97.16,96.65,97.16,96.67,96.71,96.53,96.85,96.82,97.02,96.76,96.75,96.89,96.83
PS,1985,97.02,97.14,96.85,96.52,96.4,96.65,96.84,96.91,96.94,96.87,97.22,96.92,96.85
PS,1986,96.93,96.91,96.7,96.61,96.86,96.73,96.69,96.99,96.83,97.14,96.98,97.07,96.87
PS,1987,96.73,97.17,97.06,96.93,96.8,96.69,96.6,96.88,96.8,97.04,97.08,96.72,96.87
PS,1988,96.95,97.05,96.76,96.7,96.62,96.88,96.86,96.63,96.75,97.01,96.32,96.88,96.78
PS,1989,96.65,97.62,97.2,96.78,96.74,96.71,97.12,96.8,97.05,96.99,96.5,97.18,96.94
PS,1990,96.27,96.99,97.03,96.73,96.72,96.4,96.99,97.0,96.96,96.69,96.61,96.96,96.78
PS,1991,97.05,96.93,96.35,96.66,96.8,96.88,96.79,97.12,96.97,96.74,96.9,97.03,96.85
PS,1992,96.74,96.96,96.9,96.81,97.0,96.66,96.73,97.11,96.7,96.99,96.98,96.89,96.87
PS,1993,97.37,97.4,97.18,96.81,96.75,96.62,96.62,96.87,96.81,96.8,96.85,96.78,96.9
PS,1994,97.46,97.18,96.76,96.81,96.85,96.63,96.74,96.98,96.92,96.72,96.67,97.27,96.92
PS,1995,96.88,97.02,97.17,96.74,96.74,96.84,96.52,96.74,97.0,96.46,96.81,97.22,96.84
PS,1996,97.02,96.68,97.12,96.7,96.92,96.77,96.81,97.05,96.79,96.61,97.25,96.72,96.87
PS,1997,96.85,97.21,96.96,96.78,96.8,96.58,96.9,96.97,96.8,96.67,96.79,96.7,96.83
PS,1998,96.89,96.62,97.04,96.75,96.46,96.35,96.94,97.06,96.68,97.07,96.77,97.03,96.81
PS,1999,97.05,96.67,97.2,96.91,96.54,96.79,96.66,96.9,96.7,97.03,96.99,96.82,96.86
PS,2000,97.16,96.96,96.91,96.97,96.4,96.58,96.88,96.88,96.75,97.24,96.61,97.51,96.91
PS,2001,96.9,97.31,97.04,96.67,96.56,96.71,96.86,96.87,97.1,96.57,96.81,96.57,96.83
PS,2002,96.6,96.9,97.16,96.86,96.88,96.64,96.88,96.94,96.7,97.14,96.72,96.6,96.84
