-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  33.0595   Longitude -89.447 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 136.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.57,100.53,100.03,100.34,99.76,99.93,100.03,99.91,100.11,100.3,100.26,100.35,100.17
PS,1982,100.37,100.51,100.18,100.09,100.0,99.78,100.05,100.1,100.11,100.31,100.47,100.38,100.19
PS,1983,100.34,99.96,99.55,99.63,99.85,99.86,100.19,100.09,100.23,100.31,100.0,100.55,100.05
PS,1984,100.75,100.11,99.97,99.6,100.08,100.03,100.01,100.04,100.2,100.26,100.48,100.57,100.18
PS,1985,100.48,100.61,100.23,100.17,99.77,99.9,100.01,100.03,100.23,100.09,100.2,100.66,100.2
PS,1986,100.64,99.99,100.34,100.06,99.9,99.95,100.12,100.02,100.23,100.33,100.31,100.56,100.21
PS,1987,100.23,100.09,99.96,99.94,100.06,99.99,100.13,99.98,99.95,100.49,100.42,100.29,100.13
PS,1988,100.85,100.56,100.3,99.73,99.93,99.95,100.12,99.9,100.02,100.41,100.08,100.73,100.21
PS,1989,100.63,100.76,100.17,100.13,100.03,99.93,100.06,100.02,99.99,100.37,100.26,100.53,100.24
PS,1990,100.45,100.46,100.51,100.22,99.92,100.04,100.11,100.03,100.07,100.21,100.45,100.52,100.25
PS,1991,100.52,100.44,99.76,99.95,100.01,99.99,100.04,100.09,100.27,100.21,100.62,100.69,100.21
PS,1992,100.4,100.1,100.13,100.08,100.1,99.57,100.1,100.13,100.16,100.21,100.28,100.52,100.15
PS,1993,100.54,100.37,100.18,99.89,99.87,100.01,100.05,100.06,100.09,100.14,100.54,100.39,100.18
PS,1994,100.66,100.51,100.07,100.17,99.99,99.86,100.07,100.11,100.06,100.01,100.35,100.49,100.2
PS,1995,100.24,100.39,100.25,99.87,99.79,99.88,99.91,99.74,99.99,100.01,100.43,100.48,100.08
PS,1996,100.25,100.31,100.21,100.04,100.05,99.94,100.0,100.13,99.78,100.16,100.51,100.35,100.14
PS,1997,100.47,100.54,100.22,99.93,100.03,99.71,100.01,100.11,99.9,100.21,100.15,100.04,100.11
PS,1998,100.15,99.66,100.1,99.87,99.72,99.86,100.0,100.04,99.72,100.39,100.32,100.59,100.04
PS,1999,100.37,100.35,100.21,99.94,99.93,100.0,100.15,99.78,99.9,100.32,100.58,100.5,100.17
PS,2000,100.61,100.63,100.1,100.06,99.94,100.15,99.9,100.06,99.91,100.57,100.24,100.76,100.24
PS,2001,100.61,100.6,100.01,100.36,100.04,100.03,99.98,100.09,100.03,100.45,100.44,100.34,100.25
PS,2002,100.39,100.65,100.34,100.26,100.1,99.98,100.11,100.07,99.78,100.03,100.36,100.32,100.2
PS,2003,100.7,100.15,99.81,99.95,99.78,99.75,100.07,100.02,100.05,100.06,100.38,100.49,100.1
PS,2004,100.5,100.44,100.55,100.1,100.15,100.07,99.94,100.03,99.97,99.95,100.34,100.59,100.22
PS,2005,100.7,100.4,99.78,99.88,99.94,99.78,99.93,99.84,100.1,100.13,100.29,100.33,100.09
PS,2006,100.25,100.41,100.29,99.92,99.82,99.95,100.09,99.91,99.9,100.04,100.32,100.68,100.13
