-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  41.7018   Longitude -99.9059 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 837.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,92.24,91.92,91.74,91.73,91.69,91.59,91.93,92.03,92.06,91.92,91.97,91.77,91.88
PS,1982,91.76,92.14,91.58,91.74,91.53,91.83,91.84,92.1,91.97,91.82,91.9,91.77,91.83
PS,1983,91.93,91.65,91.36,91.55,91.64,91.61,91.9,92.08,91.92,92.13,91.5,92.14,91.79
PS,1984,92.27,91.66,91.84,91.47,91.85,91.67,92.0,91.97,92.06,91.81,91.75,91.84,91.85
PS,1985,92.24,92.07,91.75,91.6,91.6,91.82,92.03,91.99,91.93,91.98,91.92,92.21,91.93
PS,1986,92.1,91.7,91.74,91.57,91.72,91.81,91.84,92.07,91.78,92.18,92.07,92.23,91.9
PS,1987,91.83,91.99,91.68,91.98,91.74,91.95,91.7,92.03,92.04,92.32,92.07,91.8,91.93
PS,1988,92.01,92.19,91.76,91.72,91.59,91.86,92.02,91.82,91.85,92.27,91.47,92.07,91.89
PS,1989,91.89,92.61,91.88,91.75,91.73,91.88,92.15,91.88,92.16,92.11,91.76,92.23,92.0
PS,1990,91.61,92.01,91.96,91.82,91.65,91.64,92.01,92.02,92.14,91.92,91.85,91.98,91.88
PS,1991,92.14,92.04,91.24,91.49,91.66,91.72,91.99,92.16,92.15,91.94,92.02,92.14,91.89
PS,1992,91.88,91.91,91.76,91.77,92.0,91.7,91.87,92.21,91.91,92.05,91.94,91.88,91.91
PS,1993,92.2,92.18,92.03,91.62,91.76,91.64,91.74,92.06,92.07,92.1,91.97,91.88,91.94
PS,1994,92.14,91.97,91.93,91.78,91.87,91.72,91.98,92.06,92.03,91.86,91.74,92.13,91.93
PS,1995,91.82,92.11,91.9,91.55,91.61,91.87,91.84,91.75,92.09,91.74,91.93,92.11,91.86
PS,1996,91.8,91.86,91.97,91.62,91.65,91.92,92.03,92.17,91.82,91.78,92.1,91.67,91.87
PS,1997,91.95,92.16,91.96,91.79,91.9,91.65,91.99,92.1,92.06,91.77,91.9,91.87,91.92
PS,1998,91.68,91.42,91.8,91.67,91.54,91.52,92.07,92.15,91.86,92.04,91.84,92.21,91.82
PS,1999,91.88,91.7,91.98,91.66,91.56,91.77,91.87,92.08,92.04,92.24,92.17,92.02,91.92
PS,2000,92.03,91.9,91.89,91.82,91.5,91.83,91.93,91.93,91.91,92.17,91.93,92.36,91.93
PS,2001,92.08,92.16,91.95,91.62,91.75,91.79,91.86,92.06,92.06,91.89,91.98,91.77,91.91
PS,2002,91.87,92.13,92.02,91.76,91.86,91.64,91.96,92.0,91.9,92.15,92.05,91.79,91.93
PS,2003,92.36,91.86,91.52,91.5,91.81,91.75,91.91,92.15,92.03,91.93,91.93,91.83,91.88
PS,2004,92.03,92.0,92.04,91.86,91.55,91.95,91.94,92.03,91.89,91.72,92.27,91.94,91.93
PS,2005,92.26,92.05,91.56,91.71,91.72,91.49,91.92,92.01,91.97,92.06,91.7,91.88,91.86
PS,2006,91.59,92.08,91.8,91.46,91.75,91.94,91.96,92.0,91.89,91.85,91.96,92.12,91.86
