-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  35.528   Longitude -78.9001 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 83.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,100.88,101.2,100.41,100.96,100.37,100.51,100.64,100.72,100.72,101.03,100.79,100.84,100.75
PS,1982,101.0,101.11,100.92,100.83,100.74,100.4,100.74,100.82,100.8,101.03,101.33,101.32,100.92
PS,1983,100.97,100.72,100.08,100.32,100.66,100.67,100.71,100.7,100.91,101.08,100.64,101.1,100.71
PS,1984,101.24,100.67,100.55,100.34,100.7,100.72,100.76,100.66,100.96,101.15,101.16,101.28,100.85
PS,1985,100.69,101.17,100.96,100.79,100.42,100.46,100.7,100.86,101.08,101.07,100.91,101.04,100.84
PS,1986,101.06,100.58,101.02,100.44,100.66,100.59,100.61,100.73,101.06,101.04,101.17,101.23,100.85
PS,1987,100.64,100.93,100.76,100.27,100.92,100.64,100.71,100.65,100.63,101.07,101.16,100.91,100.77
PS,1988,101.55,101.03,100.96,100.2,100.54,100.57,100.8,100.67,100.9,100.99,100.85,101.35,100.87
PS,1989,101.27,101.23,101.02,100.7,100.6,100.67,100.78,100.65,100.8,100.97,100.8,101.0,100.87
PS,1990,101.04,101.24,101.36,100.86,100.56,100.65,100.72,100.72,100.78,100.86,101.09,101.29,100.93
PS,1991,101.19,100.98,100.38,100.9,100.92,100.66,100.57,100.78,101.03,101.0,101.2,101.31,100.91
PS,1992,100.79,100.76,100.65,100.73,100.77,100.37,100.6,100.87,101.02,100.91,101.1,101.18,100.81
PS,1993,101.33,100.96,100.78,100.57,100.65,100.72,100.57,100.74,100.78,100.81,101.24,100.85,100.83
PS,1994,101.29,101.29,100.51,100.98,100.59,100.52,100.78,100.88,100.8,100.91,101.08,101.19,100.9
PS,1995,100.82,100.83,100.99,100.57,100.52,100.54,100.62,100.57,100.8,100.75,100.95,101.05,100.75
PS,1996,100.88,100.69,100.79,100.56,100.76,100.67,100.51,100.87,100.45,100.88,101.35,101.04,100.79
PS,1997,101.05,101.33,100.89,100.51,100.63,100.49,100.54,100.68,100.58,100.89,100.64,100.48,100.72
PS,1998,100.9,100.33,100.81,100.5,100.27,100.31,100.52,100.69,100.48,101.07,101.03,101.22,100.68
PS,1999,101.22,100.95,100.78,100.57,100.65,100.79,100.66,100.36,100.43,101.06,101.13,101.11,100.81
PS,2000,101.16,101.32,100.78,100.54,100.59,100.81,100.51,100.71,100.67,101.14,100.82,101.29,100.86
PS,2001,100.98,101.31,100.39,100.99,100.7,100.65,100.65,100.72,100.74,101.13,101.26,100.92,100.87
PS,2002,100.9,101.04,101.11,101.0,100.86,100.71,100.66,100.77,100.71,100.78,100.76,100.94,100.85
PS,2003,100.85,100.76,100.56,100.65,100.5,100.45,100.67,100.71,100.71,100.7,101.04,101.02,100.72
PS,2004,100.92,101.2,101.22,100.59,100.85,100.71,100.43,100.62,100.79,100.74,101.14,101.05,100.85
PS,2005,101.34,101.04,100.26,100.43,100.53,100.58,100.61,100.61,100.76,100.58,100.93,100.84,100.71
PS,2006,100.8,100.84,100.84,100.52,100.3,100.54,100.76,100.57,100.57,100.62,100.84,101.42,100.72
PS,2007,101.14,100.75,101.21,100.43,101.02,100.55,100.55,100.51,100.91,100.84,101.01,101.07,100.84
PS,2008,101.26,100.78,100.91,100.77,100.31,100.57,100.57,100.4,100.75,101.11,100.88,101.17,100.79
PS,2009,100.89,101.15,101.16,100.64,100.78,100.15,100.46,100.67,100.73,100.7,100.8,100.93,100.76
PS,2010,100.82,100.38,100.27,100.61,100.69,100.47,100.62,100.5,100.52,100.54,101.0,100.68,100.59
PS,2011,100.75,100.95,100.97,100.57,100.5,100.42,100.45,100.2,100.57,100.67,101.09,101.33,100.7
PS,2012,100.97,101.01,101.04,100.5,100.62,100.48,100.51,100.58,100.76,100.51,101.18,100.82,100.75
PS,2013,101.28,100.77,100.63,100.99,100.86,100.51,100.82,100.76,100.66,100.8,101.34,101.16,100.88
PS,2014,100.94,100.83,100.73,100.68,100.77,100.61,100.63,100.61,100.83,100.54,100.99,101.15,100.78
PS,2015,101.18,101.0,101.13,100.67,101.11,100.56,100.41,100.55,100.65,100.79,101.26,101.06,100.86
PS,2016,100.86,100.86,100.82,100.82,100.57,100.53,100.61,100.77,100.72,100.96,101.08,101.26,100.82
PS,2017,100.81,100.73,101.21,100.71,100.31,100.59,100.58,100.64,100.6,100.95,101.06,101.03,100.77
PS,2018,101.5,101.47,100.6,100.67,100.79,100.41,100.68,100.77,100.79,100.87,100.91,100.95,100.87
PS,2019,101.01,101.13,101.06,100.68,100.58,100.5,100.58,100.51,100.78,100.73,100.94,100.94,100.78
PS,2020,101.17,100.9,101.07,100.34,100.74,100.63,100.51,100.51,100.78,100.88,101.29,100.96,100.82
PS,2021,100.82,100.9,101.16,100.52,100.96,100.75,100.68,100.74,100.64,100.56,101.1,100.89,100.81
