-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  47.5137   Longitude -100.4333 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 575.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,95.17,94.72,94.79,94.58,94.67,94.28,94.73,94.84,94.91,94.6,94.83,94.66,94.73
PS,1982,94.85,95.03,94.46,94.65,94.51,94.71,94.62,94.94,94.82,94.65,94.75,94.58,94.71
PS,1983,94.7,94.58,94.58,94.73,94.62,94.45,94.57,94.88,94.67,94.96,94.51,95.19,94.71
PS,1984,95.0,94.6,94.94,94.59,94.57,94.43,94.74,94.67,94.93,94.53,94.47,94.72,94.69
PS,1985,95.14,94.93,94.67,94.51,94.36,94.63,94.82,94.73,94.81,94.6,95.04,94.96,94.77
PS,1986,94.79,94.72,94.58,94.62,94.59,94.61,94.58,94.89,94.73,95.05,94.85,94.9,94.74
PS,1987,94.59,94.97,94.83,94.83,94.61,94.65,94.51,94.85,94.82,95.04,94.97,94.54,94.77
PS,1988,94.8,94.95,94.68,94.61,94.39,94.61,94.73,94.55,94.79,95.02,94.27,94.79,94.68
PS,1989,94.53,95.59,94.95,94.74,94.54,94.62,94.98,94.61,94.84,94.87,94.42,95.12,94.81
PS,1990,94.14,94.77,94.86,94.68,94.58,94.39,94.88,94.84,94.93,94.54,94.46,94.78,94.65
PS,1991,94.89,94.81,94.22,94.38,94.58,94.59,94.72,94.98,94.86,94.68,94.87,94.69,94.69
PS,1992,94.56,94.84,94.79,94.69,94.73,94.54,94.73,95.0,94.46,94.92,94.9,94.75,94.74
PS,1993,95.12,95.22,94.95,94.69,94.72,94.46,94.48,94.81,94.79,94.85,94.75,94.62,94.79
PS,1994,95.29,94.9,94.69,94.8,94.63,94.55,94.78,94.92,94.85,94.5,94.39,94.93,94.77
PS,1995,94.74,94.93,94.87,94.72,94.65,94.69,94.54,94.5,94.93,94.51,94.67,95.07,94.73
PS,1996,94.92,94.63,95.08,94.59,94.76,94.67,94.81,94.79,94.66,94.57,95.19,94.6,94.77
PS,1997,94.9,95.01,94.83,94.76,94.81,94.42,94.77,94.84,94.7,94.44,94.75,94.64,94.74
PS,1998,94.61,94.31,95.06,94.63,94.44,94.3,94.9,94.95,94.6,94.94,94.68,94.94,94.7
PS,1999,94.83,94.39,94.91,94.84,94.41,94.56,94.61,94.83,94.77,94.98,94.86,94.72,94.73
PS,2000,94.92,94.84,94.75,94.9,94.38,94.53,94.81,94.73,94.64,95.0,94.68,95.4,94.8
PS,2001,94.85,95.21,94.89,94.61,94.57,94.62,94.71,94.79,94.9,94.55,94.78,94.51,94.75
PS,2002,94.55,94.92,95.11,94.74,94.78,94.51,94.74,94.73,94.54,95.09,94.68,94.46,94.74
PS,2003,95.27,94.81,94.52,94.63,94.71,94.56,94.71,94.89,94.63,94.61,94.68,94.6,94.72
