-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  44.2414   Longitude -72.7258 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 439.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,95.86,96.58,95.49,96.15,96.22,96.1,96.44,96.59,96.31,96.59,96.06,95.93,96.19
PS,1982,96.03,96.57,96.33,95.99,96.58,96.24,96.43,96.46,96.69,96.72,96.74,96.68,96.45
PS,1983,96.4,96.37,95.91,95.93,96.23,96.47,96.31,96.55,96.69,96.9,95.96,96.4,96.35
PS,1984,96.6,96.13,96.15,96.12,96.13,96.33,96.38,96.47,96.78,96.98,96.48,96.53,96.43
PS,1985,95.48,96.36,96.23,96.21,96.07,96.06,96.39,96.74,96.86,96.84,96.8,96.01,96.34
PS,1986,96.05,96.11,96.28,96.17,96.29,96.21,96.35,96.54,96.72,96.65,96.74,96.7,96.4
PS,1987,95.85,96.23,96.48,96.28,96.62,96.21,96.46,96.53,96.48,96.56,96.6,96.0,96.36
PS,1988,96.62,96.2,96.2,95.74,96.41,96.09,96.46,96.46,96.57,96.37,96.13,96.3,96.3
PS,1989,96.42,96.58,96.76,96.18,96.22,96.42,96.6,96.42,96.8,96.6,95.85,96.11,96.41
PS,1990,96.02,96.42,96.82,96.3,96.17,96.17,96.55,96.7,96.48,96.44,96.22,96.51,96.4
PS,1991,96.5,96.13,95.84,96.47,96.53,96.41,96.39,96.53,96.78,96.7,96.61,96.39,96.44
PS,1992,96.0,96.08,95.97,96.31,96.77,96.16,96.27,96.66,96.92,96.44,96.72,96.51,96.4
PS,1993,96.64,96.32,96.46,96.24,96.26,96.35,96.32,96.63,96.49,96.48,96.66,96.18,96.42
PS,1994,96.52,96.58,95.89,96.31,96.08,96.21,96.55,96.55,96.45,96.63,96.43,96.83,96.42
PS,1995,96.11,95.86,96.53,96.1,96.18,96.51,96.33,96.57,96.75,96.32,96.21,96.07,96.3
PS,1996,96.34,95.83,96.18,95.89,96.38,96.47,96.15,96.79,96.36,96.52,96.68,96.46,96.34
PS,1997,95.98,96.52,96.19,95.94,95.88,96.33,96.34,96.44,96.28,96.54,96.09,95.65,96.18
PS,1998,96.48,96.22,96.22,96.09,96.15,95.9,96.23,96.7,96.12,96.59,96.3,96.41,96.29
PS,1999,96.57,96.4,96.03,96.11,96.56,96.64,96.29,96.34,96.45,96.58,96.4,96.33,96.39
PS,2000,96.2,96.5,96.27,96.14,96.18,96.41,96.41,96.53,96.49,96.69,96.13,96.36,96.36
PS,2001,96.13,96.5,95.93,96.52,96.54,96.44,96.35,96.46,96.6,96.46,96.7,96.17,96.4
PS,2002,95.87,96.16,96.58,96.5,96.33,96.39,96.38,96.71,96.61,96.69,96.0,96.06,96.36
