-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  37.6449   Longitude -78.7243 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 220.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,99.12,99.45,98.7,99.23,98.81,98.91,99.09,99.17,99.09,99.42,99.12,99.11,99.1
PS,1982,99.22,99.47,99.26,99.14,99.12,98.8,99.13,99.2,99.24,99.44,99.68,99.63,99.28
PS,1983,99.33,99.13,98.49,98.62,98.98,99.09,99.13,99.13,99.36,99.52,98.92,99.41,99.09
PS,1984,99.57,98.98,98.88,98.68,98.99,99.09,99.13,99.08,99.46,99.56,99.5,99.57,99.21
PS,1985,98.89,99.46,99.26,99.09,98.81,98.84,99.08,99.29,99.54,99.55,99.29,99.24,99.19
PS,1986,99.28,98.91,99.31,98.8,99.05,99.0,99.03,99.17,99.46,99.45,99.57,99.59,99.22
PS,1987,98.95,99.28,99.14,98.67,99.31,99.0,99.1,99.08,99.07,99.44,99.52,99.15,99.14
PS,1988,99.81,99.28,99.24,98.55,98.94,98.96,99.16,99.09,99.33,99.32,99.14,99.57,99.2
PS,1989,99.55,99.53,99.4,99.03,98.92,99.03,99.19,99.08,99.31,99.36,99.06,99.27,99.23
PS,1990,99.24,99.46,99.7,99.18,98.9,99.03,99.14,99.18,99.18,99.25,99.38,99.56,99.27
PS,1991,99.5,99.23,98.66,99.25,99.32,99.11,99.0,99.2,99.43,99.39,99.51,99.55,99.26
PS,1992,99.07,99.1,98.94,99.05,99.25,98.81,98.97,99.32,99.49,99.29,99.46,99.46,99.18
PS,1993,99.66,99.28,99.12,98.88,99.01,99.13,99.0,99.15,99.16,99.23,99.57,99.12,99.19
PS,1994,99.58,99.57,98.82,99.26,98.99,98.91,99.15,99.26,99.21,99.37,99.46,99.62,99.27
PS,1995,99.11,99.08,99.35,98.92,98.91,99.01,99.02,99.06,99.27,99.12,99.22,99.33,99.12
PS,1996,99.17,98.95,99.09,98.8,99.12,99.07,98.93,99.33,98.88,99.26,99.67,99.29,99.13
PS,1997,99.29,99.64,99.2,98.86,98.92,98.93,98.98,99.07,99.0,99.3,98.96,98.79,99.07
PS,1998,99.25,98.77,99.11,98.8,98.67,98.69,98.95,99.19,98.88,99.46,99.34,99.54,99.06
PS,1999,99.49,99.25,99.1,98.91,99.07,99.24,99.05,98.83,98.94,99.45,99.45,99.36,99.18
PS,2000,99.4,99.57,99.12,98.86,98.92,99.14,98.94,99.12,99.14,99.53,99.12,99.57,99.2
PS,2001,99.24,99.6,98.76,99.28,99.09,99.07,99.04,99.1,99.17,99.45,99.61,99.22,99.22
PS,2002,99.13,99.29,99.42,99.34,99.21,99.09,99.09,99.21,99.18,99.24,99.02,99.2,99.2
PS,2003,99.08,99.06,98.95,99.03,98.87,98.85,99.02,99.11,99.16,99.08,99.33,99.28,99.07
PS,2004,99.15,99.55,99.49,98.91,99.16,99.11,98.86,99.06,99.29,99.12,99.49,99.29,99.2
PS,2005,99.64,99.38,98.58,98.77,98.94,99.03,99.03,99.05,99.29,99.03,99.22,99.12,99.09
PS,2006,99.03,99.07,99.12,98.86,98.68,98.93,99.12,99.0,98.98,98.99,99.25,99.7,99.06
PS,2007,99.35,99.03,99.5,98.74,99.44,98.95,98.94,98.95,99.38,99.27,99.32,99.39,99.19
PS,2008,99.51,99.03,99.18,99.15,98.62,98.94,98.95,98.86,99.26,99.51,99.21,99.41,99.14
PS,2009,99.13,99.36,99.49,98.94,99.13,98.58,98.86,99.08,99.21,99.08,99.27,99.26,99.12
PS,2010,99.1,98.65,98.62,98.92,99.08,98.84,99.0,98.94,98.92,98.87,99.35,98.93,98.94
PS,2011,99.02,99.16,99.32,98.8,98.88,98.84,98.87,98.65,98.99,99.03,99.39,99.59,99.04
PS,2012,99.2,99.28,99.34,98.86,99.03,98.9,98.9,98.97,99.14,98.88,99.57,99.1,99.1
PS,2013,99.54,99.05,98.92,99.35,99.25,98.86,99.21,99.17,99.1,99.21,99.68,99.42,99.23
PS,2014,99.17,99.14,99.07,99.06,99.12,99.02,99.01,99.07,99.29,98.86,99.27,99.49,99.13
PS,2015,99.46,99.26,99.44,99.01,99.49,98.95,98.81,98.99,99.18,99.27,99.65,99.36,99.24
PS,2016,99.15,99.12,99.13,99.13,98.96,98.92,98.99,99.2,99.19,99.39,99.38,99.54,99.18
PS,2017,99.08,98.99,99.49,99.03,98.65,98.93,98.94,99.09,99.1,99.32,99.43,99.31,99.12
PS,2018,99.76,99.73,98.94,99.0,99.13,98.85,99.17,99.15,99.34,99.24,99.26,99.29,99.24
PS,2019,99.3,99.44,99.39,98.98,98.9,98.88,98.98,98.92,99.25,99.16,99.3,99.24,99.14
PS,2020,99.47,99.14,99.37,98.66,99.14,99.03,98.9,98.91,99.27,99.29,99.62,99.22,99.17
PS,2021,99.12,99.25,99.51,98.84,99.33,99.1,99.02,99.15,99.05,98.94,99.43,99.16,99.16
PS,2022,99.22,99.61,99.08,99.07,99.04,98.94,98.96,99.09,99.09,99.19,99.52,99.51,99.19
TS,1981,-2.45,2.63,4.94,14.16,17.08,24.58,24.76,22.57,19.15,11.71,5.94,-0.99,12.04
TS,1982,-3.36,2.01,5.79,10.14,19.42,20.94,24.37,22.79,19.5,13.11,7.79,4.56,12.31
TS,1983,-0.02,0.98,7.44,10.37,16.05,21.51,25.65,25.96,20.43,13.22,7.12,-0.02,12.46
TS,1984,-3.31,3.74,4.19,10.85,16.57,23.06,22.78,23.23,18.28,17.26,5.41,5.67,12.33
TS,1985,-2.93,-1.06,6.85,14.57,18.52,22.36,24.69,22.58,19.02,14.51,11.45,0.18,12.62
TS,1986,-1.11,1.12,6.63,12.91,17.7,24.3,27.17,23.14,20.48,14.53,7.54,1.37,13.05
TS,1987,-2.2,-0.47,6.21,10.69,18.44,23.12,26.63,25.98,19.99,9.29,7.42,3.01,12.42
TS,1988,-3.09,0.98,6.65,11.19,16.99,22.15,26.07,26.0,19.5,10.06,7.48,0.49,12.07
TS,1989,2.55,2.33,6.02,10.83,15.76,22.44,23.71,22.9,19.8,12.87,6.04,-5.41,11.69
TS,1990,3.49,5.89,8.21,11.88,16.63,21.48,25.47,24.19,20.3,14.42,8.0,4.48,13.75
TS,1991,0.9,3.55,7.71,13.05,20.32,23.29,25.56,23.89,20.26,13.47,6.16,3.87,13.56
TS,1992,1.33,2.93,6.18,12.02,15.24,20.08,25.23,22.07,19.58,11.24,7.23,1.47,12.07
TS,1993,1.67,-0.2,3.87,10.94,18.01,21.8,27.14,25.23,21.12,12.67,6.98,0.4,12.55
TS,1994,-3.28,0.78,6.38,13.8,15.06,23.51,25.24,22.41,18.92,12.33,8.94,3.91,12.39
TS,1995,1.9,-0.01,7.51,12.13,17.27,21.42,24.65,25.26,19.57,14.07,4.22,-0.66,12.36
TS,1996,-1.45,0.35,3.34,11.68,17.58,22.8,23.99,22.87,18.64,12.4,3.29,2.98,11.57
TS,1997,-0.6,3.48,7.83,9.88,15.34,21.27,25.23,23.51,19.45,13.1,5.06,1.23,12.12
TS,1998,2.48,3.48,6.53,12.48,18.75,22.26,25.25,24.9,22.9,14.15,8.22,4.56,13.89
TS,1999,2.46,3.31,4.53,13.3,18.01,22.73,26.95,24.98,18.69,11.62,9.33,3.01,13.3
TS,2000,-0.86,2.9,8.8,11.99,19.43,23.69,23.48,23.18,18.68,13.72,5.68,-1.89,12.42
TS,2001,-0.26,3.8,4.74,13.38,18.14,22.87,23.54,24.73,18.6,12.94,10.18,5.4,13.22
TS,2002,2.36,3.87,7.71,14.62,17.76,24.58,26.41,25.47,21.32,14.12,6.38,-0.06,13.76
TS,2003,-1.32,-0.3,7.83,11.96,16.54,20.76,23.52,24.08,19.08,12.13,9.6,0.77,12.12
TS,2004,-1.17,0.84,8.18,12.56,20.76,22.34,24.94,22.69,19.95,13.57,8.69,2.33,13.01
TS,2005,2.19,2.58,4.55,12.33,15.79,23.26,26.29,25.94,22.28,14.45,8.8,-0.35,13.23
TS,2006,4.52,1.74,7.15,14.33,17.13,22.64,25.28,25.87,18.25,11.65,8.01,4.69,13.51
TS,2007,3.3,-2.05,8.69,11.53,18.15,23.09,24.82,26.97,21.57,17.27,6.87,4.19,13.8
TS,2008,1.04,3.83,7.94,13.35,16.55,24.61,25.12,24.08,20.17,12.51,5.88,3.61,13.25
TS,2009,-0.46,2.52,6.35,12.78,18.38,22.44,23.51,24.95,20.06,13.24,8.77,0.23,12.78
TS,2010,-1.31,-3.09,7.87,14.33,19.15,25.5,27.06,25.65,22.08,13.74,6.55,-2.33,13.02
TS,2011,-1.24,3.83,7.24,14.33,18.36,24.15,26.93,25.15,20.23,12.16,8.66,4.59,13.75
TS,2012,2.52,4.36,12.4,12.66,20.08,22.8,27.72,24.28,19.62,13.54,4.98,5.11,14.22
TS,2013,2.45,1.34,3.55,12.8,16.9,22.4,24.23,22.32,19.33,14.12,5.81,3.11,12.42
