-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  44.9611   Longitude -89.7985 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 416.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                      MERRA-2 Surface Pressure (kPa) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,96.75,96.39,96.42,96.43,96.63,96.22,96.84,96.72,96.74,96.83,96.76,96.51,96.61
PS,1982,96.48,97.04,96.48,96.53,96.53,96.52,96.59,96.84,96.77,96.62,96.67,96.53,96.63
PS,1983,96.75,96.67,96.36,96.24,96.39,96.56,96.68,96.86,96.7,96.95,96.21,96.8,96.6
PS,1984,96.88,96.36,96.74,96.34,96.5,96.43,96.69,96.7,96.86,96.82,96.63,96.6,96.63
PS,1985,96.5,96.82,96.57,96.31,96.24,96.44,96.61,96.81,96.81,96.79,96.86,96.46,96.6
PS,1986,96.61,96.55,96.44,96.4,96.65,96.57,96.59,96.85,96.69,96.9,96.84,96.88,96.67
PS,1987,96.45,96.97,96.84,96.62,96.73,96.49,96.59,96.69,96.58,96.79,96.79,96.42,96.66
PS,1988,96.67,96.67,96.48,96.36,96.57,96.77,96.77,96.51,96.62,96.68,95.98,96.63,96.56
PS,1989,96.46,97.2,96.96,96.51,96.55,96.59,96.95,96.7,96.98,96.78,96.19,96.77,96.72
PS,1990,96.09,96.74,96.88,96.51,96.46,96.29,96.82,96.87,96.74,96.53,96.47,96.7,96.59
PS,1991,96.8,96.61,96.05,96.52,96.66,96.82,96.63,96.98,96.88,96.53,96.56,96.85,96.66
PS,1992,96.48,96.64,96.61,96.57,96.93,96.48,96.5,96.95,96.71,96.71,96.62,96.67,96.66
PS,1993,97.05,97.07,96.89,96.46,96.48,96.5,96.52,96.71,96.63,96.52,96.64,96.53,96.66
PS,1994,97.04,96.93,96.47,96.49,96.69,96.48,96.56,96.79,96.76,96.7,96.55,97.12,96.71
PS,1995,96.57,96.61,96.96,96.39,96.45,96.63,96.37,96.65,96.87,96.13,96.5,96.86,96.58
PS,1996,96.54,96.33,96.75,96.32,96.71,96.54,96.58,96.96,96.61,96.5,97.0,96.38,96.6
PS,1997,96.4,96.92,96.69,96.54,96.45,96.45,96.74,96.79,96.65,96.64,96.47,96.37,96.59
PS,1998,96.61,96.46,96.6,96.49,96.32,96.18,96.7,96.88,96.52,96.97,96.53,96.77,96.59
PS,1999,96.69,96.48,96.99,96.58,96.4,96.68,96.53,96.74,96.58,96.8,96.8,96.59,96.66
PS,2000,96.85,96.74,96.65,96.63,96.22,96.44,96.69,96.76,96.63,97.11,96.42,97.1,96.69
PS,2001,96.61,96.93,96.67,96.51,96.39,96.6,96.71,96.7,96.89,96.42,96.65,96.34,96.62
PS,2002,96.28,96.52,96.77,96.66,96.66,96.55,96.78,96.87,96.64,96.86,96.42,96.4,96.62
