YEAR,state,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLOUD_AMT,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PS,QV2M,RH2M,T2MDEW,T2MWET,TOA_SW_DWN,TS,WD10M,WD2M,WS10M,WS2M
1981,Washington,,,,,,,,,,,,0.6,0.54,0.56,90.11,4.88,76.62,0.96,3.34,,5.15,288.31,295.44,2.18,0.63
1982,Washington,,,,,,,,,,,,0.63,0.57,0.59,90.03,4.76,78.81,0.15,2.26,,3.58,287.75,294.62,2.1,0.62
1983,Washington,,,,,,,,,,,,0.69,0.62,0.64,89.94,4.94,80.56,0.87,2.79,,4.01,295.56,304.56,2.14,0.62
1984,Washington,,,,13.22,,,,0.22,65.88,,18.69,0.7,0.62,0.65,90.11,4.7,80.0,0.26,2.21,25.51,3.54,282.56,286.75,2.2,0.62
1985,Washington,,,,14.06,,,,0.18,63.0,,18.83,0.62,0.55,0.58,90.26,4.39,77.62,-1.04,1.3,25.55,2.72,293.88,300.44,2.18,0.64
1986,Washington,,,,12.87,,,,0.17,69.13,,18.66,0.61,0.55,0.58,90.15,4.88,77.69,0.85,3.15,25.55,4.83,292.88,298.81,2.16,0.62
1987,Washington,,,,13.89,,,,0.16,63.68,,18.55,0.59,0.52,0.55,90.22,4.88,74.81,0.86,3.5,25.55,5.35,293.62,300.81,2.09,0.62
1988,Washington,,,,12.83,,,,0.15,66.59,,18.47,0.58,0.52,0.55,90.23,4.76,75.75,0.64,3.15,25.51,4.9,285.0,290.38,2.23,0.65
1989,Washington,,,,13.45,,,,0.12,63.69,,18.68,0.6,0.55,0.57,90.26,4.82,76.56,0.66,3.01,25.56,4.75,288.88,294.94,2.19,0.64
1990,Washington,,,,13.31,,,,0.16,67.92,,18.74,0.62,0.57,0.59,90.12,5.07,77.12,1.08,3.4,25.56,5.19,281.94,285.56,2.37,0.66
1991,Washington,,,,13.62,,,,0.16,64.87,,18.68,0.65,0.58,0.61,90.2,5.0,77.75,1.1,3.3,25.56,4.94,293.56,301.25,2.19,0.62
1992,Washington,,,,13.69,,,,0.17,64.62,,18.65,0.61,0.55,0.57,90.14,5.19,76.75,1.62,4.0,25.51,5.65,295.38,303.5,2.1,0.62
1993,Washington,,,,12.82,,,,0.17,62.47,,18.89,0.59,0.53,0.55,90.2,4.76,77.38,0.24,2.48,25.55,3.88,303.69,311.94,2.07,0.62
1994,Washington,,,,13.48,,,,0.16,65.49,,18.75,0.57,0.52,0.55,90.12,4.88,75.88,0.87,3.39,25.55,5.26,286.88,291.62,2.15,0.62
1995,Washington,,,,13.31,,,,0.15,64.93,,18.71,0.66,0.59,0.62,90.07,5.0,78.75,1.05,3.15,25.55,4.62,299.12,309.62,2.16,0.62
1996,Washington,,,,13.36,,,,0.17,65.84,,18.83,0.7,0.62,0.65,90.04,4.82,79.25,0.23,2.29,25.5,3.61,290.0,298.56,2.12,0.62
1997,Washington,,,,14.1,,,,0.2,62.07,,19.06,0.7,0.62,0.65,90.16,5.19,80.56,1.47,3.37,25.55,4.53,288.38,298.12,2.11,0.62
1998,Washington,,,,14.19,,,,0.2,62.34,,18.98,0.66,0.59,0.61,89.98,5.37,78.94,1.96,4.08,25.56,5.57,293.75,300.88,2.07,0.61
1999,Washington,,,,14.15,,,,0.23,63.4,,19.05,0.67,0.59,0.62,90.16,4.82,77.62,0.88,3.11,25.56,4.65,282.06,288.75,2.23,0.64
2000,Washington,,,,14.2,,,,0.2,60.46,,19.05,0.62,0.55,0.57,90.21,4.7,78.19,0.37,2.59,25.52,4.12,292.31,298.56,2.14,0.62
2001,Washington,69.19,5.51,15.21,13.56,9.16,0.17,,0.16,64.0,94.13,18.7,0.55,0.5,0.53,90.16,4.7,76.25,0.38,2.86,25.57,4.75,290.56,297.0,2.22,0.64
2002,Washington,70.48,5.24,16.6,13.87,9.28,0.17,,0.16,59.76,94.58,18.8,0.57,0.52,0.54,90.22,4.76,75.19,0.48,3.05,25.57,4.95,291.69,298.06,2.21,0.64
2003,Washington,70.54,5.33,16.24,13.83,9.31,0.17,,0.15,61.4,94.16,18.7,0.55,0.51,0.53,90.13,4.88,74.38,1.01,3.71,25.56,5.83,288.38,293.88,2.19,0.63
2004,Washington,69.68,5.35,15.67,13.63,9.21,0.17,,0.15,63.16,94.22,18.62,0.56,0.52,0.54,90.19,5.19,76.44,1.83,4.28,25.51,6.19,292.88,298.81,2.11,0.62
2005,Washington,69.8,5.12,16.7,13.7,9.22,0.17,,0.14,59.65,94.62,18.75,0.55,0.51,0.53,90.15,4.88,75.19,0.91,3.48,25.55,5.37,294.75,302.81,2.12,0.63
2006,Washington,70.55,5.06,16.54,13.82,9.3,0.18,,0.16,60.35,94.39,18.71,0.61,0.55,0.58,90.12,4.94,76.75,0.94,3.37,25.55,5.08,288.44,295.38,2.2,0.64
2007,Washington,69.37,5.49,15.34,13.56,9.2,0.17,,0.16,64.58,94.46,18.71,0.62,0.55,0.58,90.19,4.88,77.25,0.93,3.23,25.55,4.94,283.38,285.81,2.18,0.63
2008,Washington,68.67,5.55,15.23,13.49,9.05,0.17,,0.16,64.47,93.38,18.59,0.59,0.52,0.55,90.17,4.64,75.88,-0.04,2.43,25.5,4.15,289.12,293.56,2.23,0.66
