"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","15,600",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","37,632,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","336,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,150",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACK - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACK - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACK - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACKEYE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,400",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACKEYE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","70,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","BEANS","BEANS, DRY EDIBLE, BLACKEYE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,050",""
