Year,State,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD
1974,ALABAMA,WHEAT,95000.0,2233000.0,23.5
1974,ARIZONA,WHEAT,200000.0,13000000.0,65.0
1974,ARKANSAS,WHEAT,330000.0,8745000.0,26.5
1974,CALIFORNIA,WHEAT,750000.0,37500000.0,50.0
1974,COLORADO,WHEAT,2900000.0,72625000.0,25.0
1974,DELAWARE,WHEAT,43000.0,1505000.0,35.0
1974,FLORIDA,WHEAT,18000.0,324000.0,18.0
1974,GEORGIA,WHEAT,150000.0,3525000.0,23.5
1974,IDAHO,WHEAT,1440000.0,61860000.0,43.0
1974,ILLINOIS,WHEAT,1730000.0,51900000.0,30.0
1974,INDIANA,WHEAT,1250000.0,46875000.0,37.5
1974,IOWA,WHEAT,62000.0,1860000.0,30.0
1974,KANSAS,WHEAT,11600000.0,319000000.0,27.5
1974,KENTUCKY,WHEAT,360000.0,11340000.0,31.5
1974,LOUISIANA,WHEAT,20000.0,400000.0,20.0
1974,MARYLAND,WHEAT,148000.0,5624000.0,38.0
1974,MICHIGAN,WHEAT,850000.0,34000000.0,40.0
1974,MINNESOTA,WHEAT,2794000.0,80862000.0,28.9
1974,MISSISSIPPI,WHEAT,130000.0,3250000.0,25.0
1974,MISSOURI,WHEAT,1310000.0,37990000.0,29.0
1974,MONTANA,WHEAT,4857000.0,120108000.0,24.7
1974,NEBRASKA,WHEAT,2900000.0,98600000.0,34.0
1974,NEVADA,WHEAT,29000.0,1500000.0,51.7
1974,NEW JERSEY,WHEAT,54000.0,2160000.0,40.0
1974,NEW MEXICO,WHEAT,200000.0,3400000.0,17.0
1974,NEW YORK,WHEAT,210000.0,9030000.0,43.0
1974,NORTH CAROLINA,WHEAT,275000.0,9900000.0,36.0
1974,NORTH DAKOTA,WHEAT,10316000.0,210752000.0,20.4
1974,OHIO,WHEAT,1450000.0,59450000.0,41.0
1974,OKLAHOMA,WHEAT,6400000.0,134400000.0,21.0
1974,OREGON,WHEAT,1265000.0,52745000.0,41.7
1974,PENNSYLVANIA,WHEAT,320000.0,11520000.0,36.0
1974,SOUTH CAROLINA,WHEAT,136000.0,3604000.0,26.5
1974,SOUTH DAKOTA,WHEAT,3095000.0,57020000.0,18.4
1974,TENNESSEE,WHEAT,285000.0,8265000.0,29.0
