Alaska January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,23.7,-3.7
197512,23.0,-4.4
197612,25.8,-1.6
197712,27.0,-0.4
197812,29.1,1.7
197912,27.6,0.2
198012,26.5,-0.9
198112,29.2,1.8
198212,25.3,-2.1
198312,26.9,-0.5
198412,25.3,-2.1
198512,26.3,-1.1
198612,26.9,-0.5
198712,27.5,0.1
198812,27.1,-0.3
198912,26.8,-0.6
199012,25.4,-2.0
199112,27.0,-0.4
199212,25.0,-2.4
199312,29.9,2.5
199412,26.2,-1.2
199512,27.8,0.4
199612,25.1,-2.3
199712,28.1,0.7
199812,28.4,1.0
199912,24.0,-3.4
200012,28.4,1.0
200112,27.3,-0.1
200212,30.1,2.7
200312,29.1,1.7
200412,29.3,1.9
200512,29.2,1.8
200612,26.4,-1.0
200712,28.1,0.7
200812,25.1,-2.3
200912,26.8,-0.6
201012,27.4,0.0
201112,27.0,-0.4
201212,24.3,-3.1
201312,27.8,0.4
201412,30.3,2.9
201512,30.0,2.6
201612,31.9,4.5
201712,29.3,1.9
201812,30.4,3.0
201912,32.2,4.8
202012,27.5,0.1
202112,26.5,-0.9
202212,28.6,1.2
202312,28.4,1.0
