Arkansas January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,60.3,-0.4
197512,59.9,-0.8
197612,58.8,-1.9
197712,60.8,0.1
197812,58.9,-1.8
197912,58.0,-2.7
198012,60.5,-0.2
198112,60.2,-0.5
198212,60.0,-0.7
198312,58.9,-1.8
198412,60.1,-0.6
198512,59.8,-0.9
198612,61.5,0.8
198712,61.0,0.3
198812,59.8,-0.9
198912,59.0,-1.7
199012,61.8,1.1
199112,61.3,0.6
199212,59.9,-0.8
199312,59.3,-1.4
199412,60.4,-0.3
199512,60.5,-0.2
199612,59.6,-1.1
199712,59.7,-1.0
199812,63.1,2.4
199912,62.2,1.5
200012,60.9,0.2
200112,61.2,0.5
200212,60.6,-0.1
200312,60.3,-0.4
200412,61.0,0.3
200512,62.0,1.3
200612,62.0,1.3
200712,61.8,1.1
200812,59.9,-0.8
200912,59.9,-0.8
201012,61.2,0.5
201112,61.8,1.1
201212,63.6,2.9
201312,59.6,-1.1
201412,58.7,-2.0
201512,61.4,0.7
201612,62.8,2.1
201712,62.5,1.8
201812,61.2,0.5
201912,61.2,0.5
202012,61.2,0.5
202112,61.4,0.7
202212,61.2,0.5
202312,62.9,2.2
