Colorado January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,44.4,-1.4
197512,43.5,-2.3
197612,44.7,-1.1
197712,46.3,0.5
197812,44.5,-1.3
197912,43.5,-2.3
198012,45.6,-0.2
198112,47.1,1.3
198212,44.1,-1.7
198312,44.4,-1.4
198412,43.7,-2.1
198512,44.1,-1.7
198612,46.3,0.5
198712,45.3,-0.5
198812,45.1,-0.7
198912,45.4,-0.4
199012,45.6,-0.2
199112,45.1,-0.7
199212,45.3,-0.5
199312,43.8,-2.0
199412,46.5,0.7
199512,45.7,-0.1
199612,45.8,0.0
199712,44.8,-1.0
199812,46.3,0.5
199912,46.6,0.8
200012,47.0,1.2
200112,46.9,1.1
200212,46.1,0.3
200312,47.0,1.2
200412,45.8,0.0
200512,46.8,1.0
200612,46.5,0.7
200712,46.2,0.4
200812,44.9,-0.9
200912,45.2,-0.6
201012,46.2,0.4
201112,45.4,-0.4
201212,48.3,2.5
201312,45.1,-0.7
201412,46.1,0.3
201512,47.4,1.6
201612,47.3,1.5
201712,47.9,2.1
201812,47.2,1.4
201912,45.3,-0.5
202012,47.3,1.5
202112,47.5,1.7
202212,46.2,0.4
202312,45.9,0.1
