Connecticut January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,48.2,-1.3
197512,49.1,-0.4
197612,47.6,-1.9
197712,48.2,-1.3
197812,46.7,-2.8
197912,48.8,-0.7
198012,47.9,-1.6
198112,48.4,-1.1
198212,47.9,-1.6
198312,49.4,-0.1
198412,49.0,-0.5
198512,48.7,-0.8
198612,48.5,-1.0
198712,48.8,-0.7
198812,48.3,-1.2
198912,47.9,-1.6
199012,51.1,1.6
199112,51.0,1.5
199212,47.7,-1.8
199312,48.7,-0.8
199412,48.9,-0.6
199512,49.0,-0.5
199612,48.4,-1.1
199712,48.6,-0.9
199812,51.6,2.1
199912,50.9,1.4
200012,48.5,-1.0
200112,50.2,0.7
200212,50.5,1.0
200312,48.2,-1.3
200412,48.8,-0.7
200512,49.5,0.0
200612,51.1,1.6
200712,49.5,0.0
200812,49.7,0.2
200912,48.8,-0.7
201012,51.4,1.9
201112,50.9,1.4
201212,52.5,3.0
201312,49.8,0.3
201412,48.7,-0.8
201512,49.8,0.3
201612,51.8,2.3
201712,50.9,1.4
201812,50.8,1.3
201912,49.8,0.3
202012,51.8,2.3
202112,51.4,1.9
202212,51.0,1.5
202312,52.2,2.7
