Florida January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,70.9,-0.2
197512,71.2,0.1
197612,69.0,-2.1
197712,69.4,-1.7
197812,69.7,-1.4
197912,69.9,-1.2
198012,69.9,-1.2
198112,69.3,-1.8
198212,71.5,0.4
198312,69.3,-1.8
198412,70.0,-1.1
198512,70.8,-0.3
198612,71.5,0.4
198712,70.2,-0.9
198812,69.7,-1.4
198912,71.0,-0.1
199012,72.5,1.4
199112,71.8,0.7
199212,70.3,-0.8
199312,70.3,-0.8
199412,71.6,0.5
199512,70.8,-0.3
199612,69.9,-1.2
199712,71.1,0.0
199812,72.5,1.4
199912,71.2,0.1
200012,70.6,-0.5
200112,70.9,-0.2
200212,71.3,0.2
200312,70.9,-0.2
200412,70.8,-0.3
200512,70.8,-0.3
200612,71.4,0.3
200712,71.8,0.7
200812,70.8,-0.3
200912,71.2,0.1
201012,69.2,-1.9
201112,71.7,0.6
201212,71.9,0.8
201312,71.7,0.6
201412,70.6,-0.5
201512,73.4,2.3
201612,72.5,1.4
201712,72.8,1.7
201812,72.3,1.2
201912,73.2,2.1
202012,73.2,2.1
202112,72.2,1.1
202212,72.5,1.4
202312,73.2,2.1
