Illinois January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,51.6,-0.7
197512,52.0,-0.3
197612,50.4,-1.9
197712,51.5,-0.8
197812,49.6,-2.7
197912,49.4,-2.9
198012,51.3,-1.0
198112,51.8,-0.5
198212,50.7,-1.6
198312,52.0,-0.3
198412,51.8,-0.5
198512,50.6,-1.7
198612,52.8,0.5
198712,54.1,1.8
198812,52.1,-0.2
198912,50.4,-1.9
199012,53.6,1.3
199112,53.7,1.4
199212,51.9,-0.4
199312,50.9,-1.4
199412,52.0,-0.3
199512,51.6,-0.7
199612,50.1,-2.2
199712,51.0,-1.3
199812,55.2,2.9
199912,53.5,1.2
200012,52.2,-0.1
200112,53.4,1.1
200212,53.2,0.9
200312,51.7,-0.6
200412,52.6,0.3
200512,53.7,1.4
200612,54.0,1.7
200712,53.7,1.4
200812,50.9,-1.4
200912,51.4,-0.9
201012,52.9,0.6
201112,53.2,0.9
201212,55.8,3.5
201312,51.1,-1.2
201412,49.5,-2.8
201512,52.9,0.6
201612,54.7,2.4
201712,54.4,2.1
201812,52.5,0.2
201912,52.1,-0.2
202012,53.3,1.0
202112,53.8,1.5
202212,52.1,-0.2
202312,54.8,2.5
