Iowa January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,47.6,-0.5
197512,47.4,-0.7
197612,47.4,-0.7
197712,48.4,0.3
197812,45.3,-2.8
197912,45.1,-3.0
198012,48.0,-0.1
198112,49.0,0.9
198212,46.1,-2.0
198312,47.7,-0.4
198412,47.8,-0.3
198512,45.9,-2.2
198612,48.6,0.5
198712,51.2,3.1
198812,48.7,0.6
198912,46.6,-1.5
199012,49.5,1.4
199112,48.6,0.5
199212,47.8,-0.3
199312,45.7,-2.4
199412,47.5,-0.6
199512,47.3,-0.8
199612,45.2,-2.9
199712,47.1,-1.0
199812,50.9,2.8
199912,49.7,1.6
200012,48.6,0.5
200112,49.1,1.0
200212,49.2,1.1
200312,47.9,-0.2
200412,48.5,0.4
200512,49.6,1.5
200612,50.4,2.3
200712,48.9,0.8
200812,45.9,-2.2
200912,46.7,-1.4
201012,48.2,0.1
201112,48.4,0.3
201212,52.1,4.0
201312,46.7,-1.4
201412,45.5,-2.6
201512,49.3,1.2
201612,50.7,2.6
201712,50.0,1.9
201812,47.5,-0.6
201912,46.8,-1.3
202012,49.2,1.1
202112,50.0,1.9
202212,47.5,-0.6
202312,50.5,2.4
