Kansas January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,54.4,-0.4
197512,53.7,-1.1
197612,54.2,-0.6
197712,55.5,0.7
197812,52.7,-2.1
197912,52.3,-2.5
198012,55.1,0.3
198112,55.7,0.9
198212,53.0,-1.8
198312,53.2,-1.6
198412,54.0,-0.8
198512,52.5,-2.3
198612,56.2,1.4
198712,55.5,0.7
198812,54.7,-0.1
198912,53.1,-1.7
199012,55.5,0.7
199112,55.7,0.9
199212,54.2,-0.6
199312,51.9,-2.9
199412,54.9,0.1
199512,53.9,-0.9
199612,53.1,-1.7
199712,53.7,-1.1
199812,56.3,1.5
199912,56.0,1.2
200012,55.5,0.7
200112,55.9,1.1
200212,55.2,0.4
200312,55.0,0.2
200412,55.1,0.3
200512,55.9,1.1
200612,56.9,2.1
200712,55.1,0.3
200812,53.6,-1.2
200912,53.6,-1.2
201012,55.3,0.5
201112,55.2,0.4
201212,58.2,3.4
201312,53.7,-1.1
201412,53.7,-1.1
201512,56.3,1.5
201612,57.2,2.4
201712,56.5,1.7
201812,54.6,-0.2
201912,53.8,-1.0
202012,55.6,0.8
202112,56.1,1.3
202212,55.2,0.4
202312,56.3,1.5
