Louisiana January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,66.5,-0.3
197512,66.1,-0.7
197612,64.3,-2.5
197712,66.1,-0.7
197812,65.1,-1.7
197912,64.5,-2.3
198012,66.1,-0.7
198112,66.1,-0.7
198212,66.7,-0.1
198312,64.4,-2.4
198412,66.3,-0.5
198512,66.4,-0.4
198612,67.3,0.5
198712,66.0,-0.8
198812,65.6,-1.2
198912,65.5,-1.3
199012,67.8,1.0
199112,66.9,0.1
199212,65.8,-1.0
199312,65.6,-1.2
199412,66.5,-0.3
199512,66.8,0.0
199612,66.2,-0.6
199712,66.0,-0.8
199812,68.6,1.8
199912,67.9,1.1
200012,67.2,0.4
200112,66.7,-0.1
200212,66.6,-0.2
200312,66.4,-0.4
200412,67.1,0.3
200512,67.5,0.7
200612,67.8,1.0
200712,67.4,0.6
200812,66.6,-0.2
200912,66.9,0.1
201012,66.5,-0.3
201112,67.7,0.9
201212,68.7,1.9
201312,66.3,-0.5
201412,65.1,-1.7
201512,68.1,1.3
201612,68.7,1.9
201712,68.7,1.9
201812,67.8,1.0
201912,67.7,0.9
202012,68.2,1.4
202112,67.5,0.7
202212,67.3,0.5
202312,69.7,2.9
