Maryland January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,54.2,-0.8
197512,54.6,-0.4
197612,53.2,-1.8
197712,53.9,-1.1
197812,52.5,-2.5
197912,53.1,-1.9
198012,53.5,-1.5
198112,53.1,-1.9
198212,53.6,-1.4
198312,54.2,-0.8
198412,54.2,-0.8
198512,54.8,-0.2
198612,54.6,-0.4
198712,54.7,-0.3
198812,53.7,-1.3
198912,53.5,-1.5
199012,56.6,1.6
199112,56.5,1.5
199212,53.5,-1.5
199312,54.2,-0.8
199412,54.4,-0.6
199512,54.4,-0.6
199612,53.2,-1.8
199712,54.0,-1.0
199812,57.0,2.0
199912,55.7,0.7
200012,54.1,-0.9
200112,55.3,0.3
200212,56.3,1.3
200312,53.9,-1.1
200412,55.2,0.2
200512,55.2,0.2
200612,56.5,1.5
200712,55.7,0.7
200812,55.3,0.3
200912,54.6,-0.4
201012,55.9,0.9
201112,56.5,1.5
201212,57.5,2.5
201312,54.7,-0.3
201412,53.6,-1.4
201512,55.4,0.4
201612,56.5,1.5
201712,56.7,1.7
201812,55.9,0.9
201912,56.6,1.6
202012,57.2,2.2
202112,56.8,1.8
202212,55.7,0.7
202312,57.3,2.3
