Massachusetts January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,47.1,-1.3
197512,48.0,-0.4
197612,46.6,-1.8
197712,47.1,-1.3
197812,45.7,-2.7
197912,47.9,-0.5
198012,46.6,-1.8
198112,47.2,-1.2
198212,46.8,-1.6
198312,48.5,0.1
198412,48.0,-0.4
198512,47.2,-1.2
198612,47.2,-1.2
198712,47.4,-1.0
198812,47.2,-1.2
198912,46.7,-1.7
199012,49.7,1.3
199112,49.6,1.2
199212,46.4,-2.0
199312,47.3,-1.1
199412,47.7,-0.7
199512,47.8,-0.6
199612,47.3,-1.1
199712,47.4,-1.0
199812,50.4,2.0
199912,49.8,1.4
200012,47.5,-0.9
200112,49.1,0.7
200212,49.3,0.9
200312,47.1,-1.3
200412,47.6,-0.8
200512,48.4,0.0
200612,50.1,1.7
200712,48.3,-0.1
200812,48.6,0.2
200912,47.7,-0.7
201012,50.4,2.0
201112,49.7,1.3
201212,51.3,2.9
201312,48.8,0.4
201412,47.7,-0.7
201512,48.5,0.1
201612,50.3,1.9
201712,49.6,1.2
201812,49.5,1.1
201912,48.5,0.1
202012,50.9,2.5
202112,50.8,2.4
202212,50.3,1.9
202312,51.3,2.9
