Minnesota January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,40.2,-1.2
197512,40.1,-1.3
197612,40.5,-0.9
197712,41.2,-0.2
197812,39.0,-2.4
197912,37.8,-3.6
198012,40.7,-0.7
198112,42.6,1.2
198212,39.0,-2.4
198312,41.4,0.0
198412,41.3,-0.1
198512,38.7,-2.7
198612,41.5,0.1
198712,45.3,3.9
198812,41.6,0.2
198912,39.1,-2.3
199012,42.5,1.1
199112,41.7,0.3
199212,40.9,-0.5
199312,38.9,-2.5
199412,40.9,-0.5
199512,40.3,-1.1
199612,37.6,-3.8
199712,40.6,-0.8
199812,44.9,3.5
199912,43.7,2.3
200012,41.8,0.4
200112,43.1,1.7
200212,42.0,0.6
200312,41.5,0.1
200412,41.3,-0.1
200512,43.1,1.7
200612,44.4,3.0
200712,42.4,1.0
200812,39.4,-2.0
200912,40.1,-1.3
201012,42.8,1.4
201112,42.0,0.6
201212,45.2,3.8
201312,39.3,-2.1
201412,38.6,-2.8
201512,43.5,2.1
201612,44.6,3.2
201712,42.6,1.2
201812,40.6,-0.8
201912,39.3,-2.1
202012,42.4,1.0
202112,44.3,2.9
202212,40.0,-1.4
202312,43.8,2.4
