Mississippi January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,63.5,-0.4
197512,63.3,-0.6
197612,61.4,-2.5
197712,63.3,-0.6
197812,62.2,-1.7
197912,61.6,-2.3
198012,63.1,-0.8
198112,63.1,-0.8
198212,63.8,-0.1
198312,61.7,-2.2
198412,63.3,-0.6
198512,63.2,-0.7
198612,64.6,0.7
198712,63.5,-0.4
198812,62.7,-1.2
198912,62.4,-1.5
199012,65.1,1.2
199112,64.3,0.4
199212,62.8,-1.1
199312,62.7,-1.2
199412,63.5,-0.4
199512,63.6,-0.3
199612,63.0,-0.9
199712,62.9,-1.0
199812,65.9,2.0
199912,65.0,1.1
200012,64.2,0.3
200112,63.7,-0.2
200212,64.0,0.1
200312,63.3,-0.6
200412,64.0,0.1
200512,64.3,0.4
200612,64.8,0.9
200712,65.0,1.1
200812,63.3,-0.6
200912,63.6,-0.3
201012,63.5,-0.4
201112,64.5,0.6
201212,65.7,1.8
201312,63.1,-0.8
201412,62.3,-1.6
201512,65.3,1.4
201612,65.9,2.0
201712,65.8,1.9
201812,64.8,0.9
201912,65.2,1.3
202012,65.5,1.6
202112,64.7,0.8
202212,64.7,0.8
202312,66.7,2.8
