Missouri January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,54.4,-0.6
197512,54.6,-0.4
197612,53.6,-1.4
197712,54.9,-0.1
197812,52.6,-2.4
197912,52.1,-2.9
198012,55.0,0.0
198112,54.9,-0.1
198212,53.5,-1.5
198312,54.0,-1.0
198412,54.4,-0.6
198512,53.0,-2.0
198612,55.9,0.9
198712,56.3,1.3
198812,54.6,-0.4
198912,53.0,-2.0
199012,56.2,1.2
199112,56.1,1.1
199212,54.5,-0.5
199312,53.0,-2.0
199412,54.7,-0.3
199512,54.2,-0.8
199612,52.9,-2.1
199712,53.7,-1.3
199812,57.2,2.2
199912,56.4,1.4
200012,55.2,0.2
200112,55.8,0.8
200212,55.3,0.3
200312,54.5,-0.5
200412,55.0,0.0
200512,56.2,1.2
200612,56.8,1.8
200712,56.2,1.2
200812,53.4,-1.6
200912,54.0,-1.0
201012,55.2,0.2
201112,55.6,0.6
201212,58.6,3.6
201312,53.6,-1.4
201412,52.9,-2.1
201512,55.8,0.8
201612,57.4,2.4
201712,57.2,2.2
201812,55.2,0.2
201912,55.0,0.0
202012,55.8,0.8
202112,56.3,1.3
202212,55.0,0.0
202312,57.4,2.4
