Nevada January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,50.1,-0.6
197512,48.3,-2.4
197612,49.5,-1.2
197712,50.3,-0.4
197812,49.4,-1.3
197912,49.6,-1.1
198012,50.4,-0.3
198112,51.8,1.1
198212,48.1,-2.6
198312,49.5,-1.2
198412,48.8,-1.9
198512,48.7,-2.0
198612,51.5,0.8
198712,50.6,-0.1
198812,50.7,0.0
198912,50.1,-0.6
199012,50.0,-0.7
199112,49.9,-0.8
199212,51.4,0.7
199312,48.6,-2.1
199412,50.8,0.1
199512,50.9,0.2
199612,51.5,0.8
199712,50.6,-0.1
199812,49.2,-1.5
199912,50.6,-0.1
200012,51.5,0.8
200112,51.6,0.9
200212,50.8,0.1
200312,52.2,1.5
200412,50.8,0.1
200512,50.7,0.0
200612,50.8,0.1
200712,51.5,0.8
200812,50.4,-0.3
200912,50.4,-0.3
201012,50.1,-0.6
201112,49.6,-1.1
201212,52.4,1.7
201312,50.5,-0.2
201412,53.0,2.3
201512,52.9,2.2
201612,51.9,1.2
201712,52.2,1.5
201812,52.0,1.3
201912,49.9,-0.8
202012,52.4,1.7
202112,52.5,1.8
202212,51.6,0.9
202312,50.0,-0.7
