New Hampshire January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,42.3,-1.4
197512,43.3,-0.4
197612,41.7,-2.0
197712,42.7,-1.0
197812,41.2,-2.5
197912,43.5,-0.2
198012,41.7,-2.0
198112,43.3,-0.4
198212,42.0,-1.7
198312,44.0,0.3
198412,43.6,-0.1
198512,42.4,-1.3
198612,42.7,-1.0
198712,43.1,-0.6
198812,42.7,-1.0
198912,41.7,-2.0
199012,45.0,1.3
199112,44.5,0.8
199212,41.8,-1.9
199312,42.5,-1.2
199412,42.7,-1.0
199512,43.3,-0.4
199612,43.0,-0.7
199712,42.3,-1.4
199812,46.0,2.3
199912,45.4,1.7
200012,43.0,-0.7
200112,44.6,0.9
200212,44.5,0.8
200312,42.5,-1.2
200412,43.0,-0.7
200512,44.0,0.3
200612,45.8,2.1
200712,43.1,-0.6
200812,43.9,0.2
200912,43.0,-0.7
201012,46.0,2.3
201112,44.9,1.2
201212,46.6,2.9
201312,44.2,0.5
201412,43.1,-0.6
201512,43.6,-0.1
201612,45.7,2.0
201712,44.9,1.2
201812,44.5,0.8
201912,43.3,-0.4
202012,45.9,2.2
202112,46.1,2.4
202212,45.4,1.7
202312,46.8,3.1
