New Jersey January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,52.1,-1.0
197512,52.8,-0.3
197612,51.1,-2.0
197712,51.8,-1.3
197812,50.2,-2.9
197912,51.6,-1.5
198012,51.6,-1.5
198112,51.5,-1.6
198212,51.4,-1.7
198312,52.6,-0.5
198412,52.2,-0.9
198512,52.5,-0.6
198612,52.3,-0.8
198712,52.4,-0.7
198812,51.6,-1.5
198912,51.5,-1.6
199012,54.5,1.4
199112,54.4,1.3
199212,51.2,-1.9
199312,52.2,-0.9
199412,52.2,-0.9
199512,52.5,-0.6
199612,51.5,-1.6
199712,52.1,-1.0
199812,55.2,2.1
199912,54.1,1.0
200012,52.2,-0.9
200112,53.6,0.5
200212,54.3,1.2
200312,51.8,-1.3
200412,53.0,-0.1
200512,53.5,0.4
200612,55.0,1.9
200712,53.6,0.5
200812,53.6,0.5
200912,52.7,-0.4
201012,54.7,1.6
201112,54.9,1.8
201212,55.9,2.8
201312,53.2,0.1
201412,51.9,-1.2
201512,53.9,0.8
201612,55.0,1.9
201712,54.6,1.5
201812,54.2,1.1
201912,54.3,1.2
202012,55.5,2.4
202112,55.1,2.0
202212,54.3,1.2
202312,55.4,2.3
