New Mexico January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,52.8,-1.2
197512,51.4,-2.6
197612,51.9,-2.1
197712,53.7,-0.3
197812,53.2,-0.8
197912,51.8,-2.2
198012,53.6,-0.4
198112,54.4,0.4
198212,52.6,-1.4
198312,52.5,-1.5
198412,52.4,-1.6
198512,52.8,-1.2
198612,53.6,-0.4
198712,51.9,-2.1
198812,52.6,-1.4
198912,54.0,0.0
199012,53.3,-0.7
199112,52.5,-1.5
199212,52.6,-1.4
199312,53.1,-0.9
199412,54.4,0.4
199512,54.3,0.3
199612,54.7,0.7
199712,52.9,-1.1
199812,54.2,0.2
199912,54.3,0.3
200012,55.2,1.2
200112,54.6,0.6
200212,54.4,0.4
200312,55.5,1.5
200412,53.5,-0.5
200512,54.7,0.7
200612,54.7,0.7
200712,54.2,0.2
200812,53.6,-0.4
200912,54.3,0.3
201012,54.2,0.2
201112,54.6,0.6
201212,56.0,2.0
201312,53.7,-0.3
201412,54.8,0.8
201512,54.9,0.9
201612,55.5,1.5
201712,56.4,2.4
201812,55.5,1.5
201912,54.5,0.5
202012,56.0,2.0
202112,55.4,1.4
202212,54.6,0.6
202312,55.3,1.3
