New York January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,44.2,-1.4
197512,45.5,-0.1
197612,43.2,-2.4
197712,44.5,-1.1
197812,42.9,-2.7
197912,44.6,-1.0
198012,43.6,-2.0
198112,44.7,-0.9
198212,44.4,-1.2
198312,45.5,-0.1
198412,45.2,-0.4
198512,44.7,-0.9
198612,45.1,-0.5
198712,45.7,0.1
198812,44.8,-0.8
198912,43.8,-1.8
199012,47.3,1.7
199112,47.1,1.5
199212,43.8,-1.8
199312,44.2,-1.4
199412,44.3,-1.3
199512,45.2,-0.4
199612,44.5,-1.1
199712,44.3,-1.3
199812,48.3,2.7
199912,46.9,1.3
200012,44.9,-0.7
200112,46.9,1.3
200212,46.8,1.2
200312,44.5,-1.1
200412,45.2,-0.4
200512,46.2,0.6
200612,47.6,2.0
200712,45.7,0.1
200812,45.8,0.2
200912,45.0,-0.6
201012,47.3,1.7
201112,47.1,1.5
201212,48.8,3.2
201312,45.7,0.1
201412,44.5,-1.1
201512,45.7,0.1
201612,47.7,2.1
201712,46.9,1.3
201812,46.2,0.6
201912,45.2,-0.4
202012,47.8,2.2
202112,47.7,2.1
202212,46.6,1.0
202312,48.2,2.6
