North Carolina January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,59.0,-0.2
197512,59.3,0.1
197612,57.3,-1.9
197712,58.3,-0.9
197812,57.4,-1.8
197912,57.6,-1.6
198012,57.9,-1.3
198112,57.2,-2.0
198212,58.6,-0.6
198312,57.9,-1.3
198412,58.6,-0.6
198512,59.2,0.0
198612,59.8,0.6
198712,58.5,-0.7
198812,57.3,-1.9
198912,58.2,-1.0
199012,61.1,1.9
199112,60.2,1.0
199212,58.2,-1.0
199312,58.7,-0.5
199412,59.0,-0.2
199512,58.4,-0.8
199612,57.8,-1.4
199712,58.1,-1.1
199812,60.8,1.6
199912,59.7,0.5
200012,58.4,-0.8
200112,59.4,0.2
200212,60.0,0.8
200312,58.7,-0.5
200412,59.3,0.1
200512,59.4,0.2
200612,59.8,0.6
200712,60.5,1.3
200812,59.3,0.1
200912,58.9,-0.3
201012,59.0,-0.2
201112,60.4,1.2
201212,60.7,1.5
201312,58.6,-0.6
201412,58.4,-0.8
201512,60.5,1.3
201612,60.8,1.6
201712,61.0,1.8
201812,60.4,1.2
201912,61.3,2.1
202012,60.8,1.6
202112,60.2,1.0
202212,59.9,0.7
202312,60.7,1.5
