Oregon January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,47.0,-0.6
197512,45.8,-1.8
197612,46.4,-1.2
197712,47.0,-0.6
197812,46.5,-1.1
197912,46.9,-0.7
198012,47.0,-0.6
198112,47.8,0.2
198212,45.4,-2.2
198312,46.9,-0.7
198412,45.6,-2.0
198512,44.6,-3.0
198612,48.1,0.5
198712,48.4,0.8
198812,47.9,0.3
198912,46.5,-1.1
199012,47.4,-0.2
199112,47.6,0.0
199212,49.4,1.8
199312,45.5,-2.1
199412,47.9,0.3
199512,48.1,0.5
199612,47.6,0.0
199712,47.8,0.2
199812,47.8,0.2
199912,47.2,-0.4
200012,47.5,-0.1
200112,47.8,0.2
200212,47.7,0.1
200312,49.0,1.4
200412,48.5,0.9
200512,47.7,0.1
200612,48.0,0.4
200712,47.8,0.2
200812,46.8,-0.8
200912,47.3,-0.3
201012,47.1,-0.5
201112,46.3,-1.3
201212,48.0,0.4
201312,47.6,0.0
201412,49.6,2.0
201512,50.4,2.8
201612,48.8,1.2
201712,48.0,0.4
201812,48.4,0.8
201912,47.1,-0.5
202012,48.8,1.2
202112,49.2,1.6
202212,48.3,0.7
202312,48.1,0.5
