Rhode Island January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,49.1,-1.2
197512,49.9,-0.4
197612,48.3,-2.0
197712,49.2,-1.1
197812,47.4,-2.9
197912,49.7,-0.6
198012,48.5,-1.8
198112,48.9,-1.4
198212,48.6,-1.7
198312,50.3,0.0
198412,49.8,-0.5
198512,49.2,-1.1
198612,49.0,-1.3
198712,49.1,-1.2
198812,49.0,-1.3
198912,48.6,-1.7
199012,51.5,1.2
199112,51.4,1.1
199212,48.4,-1.9
199312,49.3,-1.0
199412,49.6,-0.7
199512,49.9,-0.4
199612,49.1,-1.2
199712,49.4,-0.9
199812,52.0,1.7
199912,51.8,1.5
200012,49.5,-0.8
200112,51.1,0.8
200212,51.2,0.9
200312,49.0,-1.3
200412,49.3,-1.0
200512,50.1,-0.2
200612,51.8,1.5
200712,50.3,0.0
200812,50.8,0.5
200912,49.8,-0.5
201012,52.0,1.7
201112,51.6,1.3
201212,52.9,2.6
201312,50.7,0.4
201412,49.7,-0.6
201512,50.4,0.1
201612,52.2,1.9
201712,51.5,1.2
201812,51.6,1.3
201912,50.6,0.3
202012,52.8,2.5
202112,52.5,2.2
202212,52.1,1.8
202312,52.7,2.4
