South Carolina January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,63.0,-0.1
197512,63.1,0.0
197612,60.9,-2.2
197712,62.2,-0.9
197812,61.6,-1.5
197912,61.5,-1.6
198012,61.9,-1.2
198112,61.2,-1.9
198212,62.7,-0.4
198312,61.3,-1.8
198412,62.4,-0.7
198512,63.0,-0.1
198612,64.1,1.0
198712,62.3,-0.8
198812,61.2,-1.9
198912,62.3,-0.8
199012,65.0,1.9
199112,63.8,0.7
199212,61.9,-1.2
199312,62.6,-0.5
199412,62.8,-0.3
199512,62.5,-0.6
199612,61.8,-1.3
199712,62.2,-0.9
199812,64.7,1.6
199912,63.4,0.3
200012,62.2,-0.9
200112,63.3,0.2
200212,63.7,0.6
200312,62.4,-0.7
200412,63.2,0.1
200512,63.1,0.0
200612,63.6,0.5
200712,64.3,1.2
200812,63.0,-0.1
200912,62.7,-0.4
201012,62.6,-0.5
201112,64.1,1.0
201212,64.5,1.4
201312,62.3,-0.8
201412,62.2,-0.9
201512,64.5,1.4
201612,64.9,1.8
201712,65.1,2.0
201812,64.3,1.2
201912,65.0,1.9
202012,64.6,1.5
202112,63.7,0.6
202212,63.8,0.7
202312,64.3,1.2
