Tennessee January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,57.7,-0.4
197512,57.8,-0.3
197612,55.5,-2.6
197712,57.3,-0.8
197812,56.2,-1.9
197912,55.8,-2.3
198012,57.3,-0.8
198112,56.7,-1.4
198212,57.6,-0.5
198312,56.7,-1.4
198412,57.5,-0.6
198512,57.3,-0.8
198612,58.8,0.7
198712,58.4,0.3
198812,56.7,-1.4
198912,56.6,-1.5
199012,59.4,1.3
199112,59.1,1.0
199212,57.0,-1.1
199312,57.2,-0.9
199412,57.6,-0.5
199512,57.4,-0.7
199612,56.6,-1.5
199712,56.8,-1.3
199812,60.2,2.1
199912,59.3,1.2
200012,58.0,-0.1
200112,58.3,0.2
200212,58.7,0.6
200312,57.5,-0.6
200412,58.5,0.4
200512,58.8,0.7
200612,58.9,0.8
200712,59.9,1.8
200812,57.6,-0.5
200912,57.6,-0.5
201012,57.9,-0.2
201112,58.9,0.8
201212,60.3,2.2
201312,57.1,-1.0
201412,56.6,-1.5
201512,59.0,0.9
201612,60.3,2.2
201712,60.0,1.9
201812,59.1,1.0
201912,59.8,1.7
202012,59.3,1.2
202112,59.0,0.9
202212,58.5,0.4
202312,60.0,1.9
