Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,47.7,-1.1
197512,45.7,-3.1
197612,47.5,-1.3
197712,48.9,0.1
197812,47.9,-0.9
197912,46.6,-2.2
198012,48.5,-0.3
198112,50.0,1.2
198212,46.4,-2.4
198312,47.8,-1.0
198412,45.9,-2.9
198512,47.0,-1.8
198612,49.3,0.5
198712,48.4,-0.4
198812,48.5,-0.3
198912,48.6,-0.2
199012,48.7,-0.1
199112,47.5,-1.3
199212,49.0,0.2
199312,46.8,-2.0
199412,49.7,0.9
199512,49.2,0.4
199612,49.6,0.8
199712,48.2,-0.6
199812,48.3,-0.5
199912,49.2,0.4
200012,50.2,1.4
200112,50.0,1.2
200212,48.8,0.0
200312,50.6,1.8
200412,48.7,-0.1
200512,49.3,0.5
200612,49.2,0.4
200712,49.9,1.1
200812,48.1,-0.7
200912,48.4,-0.4
201012,48.3,-0.5
201112,47.6,-1.2
201212,50.9,2.1
201312,47.8,-1.0
201412,50.4,1.6
201512,50.7,1.9
201612,50.2,1.4
201712,50.7,1.9
201812,50.4,1.6
201912,47.9,-0.9
202012,50.4,1.6
202112,50.7,1.9
202212,49.5,0.7
202312,48.5,-0.3
