Vermont January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,41.2,-1.5
197512,42.5,-0.2
197612,40.5,-2.2
197712,41.9,-0.8
197812,40.0,-2.7
197912,42.4,-0.3
198012,40.6,-2.1
198112,42.2,-0.5
198212,41.3,-1.4
198312,42.6,-0.1
198412,42.5,-0.2
198512,41.5,-1.2
198612,41.8,-0.9
198712,42.2,-0.5
198812,41.8,-0.9
198912,40.7,-2.0
199012,44.1,1.4
199112,43.5,0.8
199212,40.6,-2.1
199312,41.2,-1.5
199412,41.3,-1.4
199512,42.3,-0.4
199612,42.0,-0.7
199712,41.1,-1.6
199812,45.2,2.5
199912,44.3,1.6
200012,41.8,-0.9
200112,43.8,1.1
200212,43.6,0.9
200312,41.5,-1.2
200412,41.8,-0.9
200512,43.4,0.7
200612,45.1,2.4
200712,42.2,-0.5
200812,43.1,0.4
200912,42.3,-0.4
201012,44.9,2.2
201112,44.3,1.6
201212,45.9,3.2
201312,43.2,0.5
201412,42.0,-0.7
201512,42.6,-0.1
201612,44.7,2.0
201712,43.8,1.1
201812,43.2,0.5
201912,41.9,-0.8
202012,44.8,2.1
202112,45.0,2.3
202212,44.2,1.5
202312,45.8,3.1
