Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,55.3,-0.3
197512,55.4,-0.2
197612,53.8,-1.8
197712,54.8,-0.8
197812,53.6,-2.0
197912,53.8,-1.8
198012,54.4,-1.2
198112,53.7,-1.9
198212,54.7,-0.9
198312,54.5,-1.1
198412,55.0,-0.6
198512,55.4,-0.2
198612,55.7,0.1
198712,55.2,-0.4
198812,53.9,-1.7
198912,54.4,-1.2
199012,57.4,1.8
199112,57.0,1.4
199212,54.4,-1.2
199312,55.1,-0.5
199412,55.3,-0.3
199512,55.0,-0.6
199612,54.0,-1.6
199712,54.5,-1.1
199812,57.4,1.8
199912,56.3,0.7
200012,54.9,-0.7
200112,55.8,0.2
200212,56.6,1.0
200312,55.0,-0.6
200412,55.9,0.3
200512,55.9,0.3
200612,56.6,1.0
200712,56.8,1.2
200812,55.7,0.1
200912,55.2,-0.4
201012,55.9,0.3
201112,57.0,1.4
201212,57.6,2.0
201312,55.1,-0.5
201412,54.4,-1.2
201512,56.5,0.9
201612,57.1,1.5
201712,57.3,1.7
201812,56.6,1.0
201912,57.5,1.9
202012,57.4,1.8
202112,57.1,1.5
202212,56.2,0.6
202312,57.4,1.8
