West Virginia January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,51.8,-0.4
197512,52.3,0.1
197612,49.8,-2.4
197712,50.9,-1.3
197812,49.9,-2.3
197912,50.2,-2.0
198012,50.5,-1.7
198112,50.0,-2.2
198212,51.6,-0.6
198312,51.2,-1.0
198412,51.6,-0.6
198512,51.6,-0.6
198612,52.3,0.1
198712,52.3,0.1
198812,50.9,-1.3
198912,50.9,-1.3
199012,53.9,1.7
199112,53.9,1.7
199212,51.3,-0.9
199312,51.9,-0.3
199412,51.8,-0.4
199512,51.6,-0.6
199612,50.7,-1.5
199712,51.0,-1.2
199812,54.2,2.0
199912,53.0,0.8
200012,51.8,-0.4
200112,52.7,0.5
200212,53.2,1.0
200312,51.6,-0.6
200412,52.7,0.5
200512,52.8,0.6
200612,53.0,0.8
200712,53.3,1.1
200812,51.8,-0.4
200912,51.7,-0.5
201012,52.1,-0.1
201112,53.5,1.3
201212,54.3,2.1
201312,51.8,-0.4
201412,50.8,-1.4
201512,53.1,0.9
201612,54.1,1.9
201712,54.0,1.8
201812,53.3,1.1
201912,54.2,2.0
202012,54.0,1.8
202112,53.6,1.4
202212,52.4,0.2
202312,53.9,1.7
