Wyoming January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1974-2023
Missing: -99
Date,Value,Anomaly
197412,41.2,-0.7
197512,39.4,-2.5
197612,41.3,-0.6
197712,42.0,0.1
197812,39.4,-2.5
197912,40.0,-1.9
198012,41.9,0.0
198112,43.7,1.8
198212,39.8,-2.1
198312,40.9,-1.0
198412,39.9,-2.0
198512,39.2,-2.7
198612,42.3,0.4
198712,42.5,0.6
198812,42.8,0.9
198912,41.2,-0.7
199012,41.9,0.0
199112,41.7,-0.2
199212,42.5,0.6
199312,38.9,-3.0
199412,42.9,1.0
199512,41.7,-0.2
199612,41.0,-0.9
199712,41.2,-0.7
199812,42.5,0.6
199912,43.2,1.3
200012,42.5,0.6
200112,43.2,1.3
200212,41.4,-0.5
200312,43.1,1.2
200412,42.4,0.5
200512,42.8,0.9
200612,43.2,1.3
200712,43.3,1.4
200812,40.7,-1.2
200912,40.9,-1.0
201012,42.0,0.1
201112,41.1,-0.8
201212,44.8,2.9
201312,41.7,-0.2
201412,42.1,0.2
201512,44.2,2.3
201612,43.9,2.0
201712,43.2,1.3
201812,42.4,0.5
201912,40.3,-1.6
202012,42.8,0.9
202112,43.6,1.7
202212,42.0,0.1
202312,42.0,0.1
