Idaho January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,409
197512,384
197612,315
197712,433
197812,298
197912,442
198012,290
198112,408
198212,344
198312,342
198412,399
198512,430
198612,435
198712,372
198812,484
198912,419
199012,517
199112,481
199212,427
199312,168
199412,572
199512,309
199612,423
199712,406
199812,581
199912,373
200012,486
200112,552
200212,482
200312,654
200412,451
200512,435
200612,578
200712,646
200812,453
200912,475
201012,340
201112,435
201212,579
201312,657
201412,540
201512,609
201612,455
201712,615
201812,541
201912,453
202012,487
202112,728
202212,718
202312,561
