Illinois January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,673
197512,845
197612,703
197712,925
197812,858
197912,739
198012,954
198112,733
198212,723
198312,1081
198412,839
198512,743
198612,859
198712,1059
198812,1160
198912,737
199012,762
199112,1101
199212,512
199312,804
199412,746
199512,1040
199612,694
199712,698
199812,1028
199912,936
200012,806
200112,876
200212,1020
200312,752
200412,679
200512,1108
200612,870
200712,1052
200812,792
200912,623
201012,1113
201112,982
201212,1156
201312,805
201412,725
201512,842
201612,1089
201712,840
201812,1096
201912,936
202012,951
202112,1063
202212,929
202312,886
