Kentucky January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,858
197512,1114
197612,785
197712,1275
197812,1144
197912,924
198012,1320
198112,1048
198212,995
198312,1290
198412,1066
198512,1070
198612,1281
198712,1348
198812,1221
198912,991
199012,1060
199112,1362
199212,846
199312,1198
199412,1025
199512,1254
199612,1034
199712,947
199812,1367
199912,1306
200012,1137
200112,1141
200212,1386
200312,1013
200412,1087
200512,1356
200612,1139
200712,1516
200812,1161
200912,1023
201012,1554
201112,1303
201212,1398
201312,1079
201412,1110
201512,1247
201612,1498
201712,1161
201812,1530
201912,1439
202012,1208
202112,1259
202212,1304
202312,1163
