Maryland January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,807
197512,958
197612,815
197712,1047
197812,946
197912,794
198012,1119
198112,884
198212,826
198312,1072
198412,928
198512,950
198612,1078
198712,1206
198812,1143
198912,996
199012,960
199112,1275
199212,755
199312,1143
199412,1032
199512,1143
199612,896
199712,871
199812,1171
199912,1147
200012,879
200112,975
200212,1264
200312,986
200412,1121
200512,1272
200612,1143
200712,1264
200812,1086
200912,992
201012,1459
201112,1334
201212,1310
201312,1042
201412,973
201512,1242
201612,1329
201712,1112
201812,1361
201912,1366
202012,1251
202112,1303
202212,1212
202312,1106
