Massachusetts January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,373
197512,454
197612,388
197712,384
197812,349
197912,416
198012,457
198112,412
198212,288
198312,520
198412,453
198512,339
198612,260
198712,376
198812,517
198912,402
199012,451
199112,483
199212,262
199312,476
199412,537
199512,488
199612,393
199712,381
199812,482
199912,605
200012,299
200112,490
200212,547
200312,521
200412,389
200512,633
200612,512
200712,484
200812,498
200912,374
201012,687
201112,579
201212,597
201312,588
201412,444
201512,590
201612,666
201712,477
201812,712
201912,577
202012,702
202112,667
202212,708
202312,566
