Arizona January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,2817
197512,2477
197612,2534
197712,2855
197812,2840
197912,2733
198012,2740
198112,2987
198212,2536
198312,2633
198412,2710
198512,2770
198612,2724
198712,2837
198812,2904
198912,3091
199012,2810
199112,2616
199212,2818
199312,2739
199412,3035
199512,2894
199612,3106
199712,3068
199812,2677
199912,2850
200012,3188
200112,3238
200212,3113
200312,3227
200412,2937
200512,3004
200612,3083
200712,3249
200812,2998
200912,3118
201012,2942
201112,3124
201212,3214
201312,3065
201412,3117
201512,3129
201612,3219
201712,3338
201812,3246
201912,2975
202012,3557
202112,3152
202212,3187
202312,3170
