Michigan January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,436
197512,527
197612,446
197712,525
197812,485
197912,387
198012,505
198112,449
198212,429
198312,645
198412,527
198512,403
198612,452
198712,683
198812,726
198912,454
199012,430
199112,658
199212,239
199312,508
199412,443
199512,694
199612,448
199712,386
199812,666
199912,639
200012,431
200112,562
200212,705
200312,464
200412,415
200512,778
200612,583
200712,657
200812,526
200912,368
201012,761
201112,687
201212,773
201312,540
201412,443
201512,562
201612,771
201712,561
201812,778
201912,634
202012,699
202112,762
202212,669
202312,524
