Minnesota January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,404
197512,489
197612,524
197712,480
197812,423
197912,336
198012,461
198112,382
198212,374
198312,611
198412,455
198512,301
198612,394
198712,574
198812,740
198912,473
199012,411
199112,511
199212,195
199312,300
199412,367
199512,525
199612,361
199712,384
199812,515
199912,483
200012,395
200112,522
200212,532
200312,467
200412,278
200512,554
200612,578
200712,552
200812,394
200912,295
201012,542
201112,534
201212,637
201312,453
201412,395
201512,466
201612,508
201712,401
201812,557
201912,436
202012,552
202112,651
202212,496
202312,578
