Mississippi January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,1837
197512,1894
197612,1672
197712,2276
197812,2157
197912,1871
198012,2272
198112,2091
198212,2028
198312,1868
198412,1938
198512,2105
198612,2267
198712,2073
198812,1979
198912,1834
199012,2136
199112,2180
199212,1780
199312,2008
199412,1923
199512,2119
199612,1968
199712,1927
199812,2527
199912,2225
200012,2329
200112,1992
200212,2226
200312,2038
200412,2082
200512,2167
200612,2266
200712,2314
200812,2012
200912,2086
201012,2501
201112,2295
201212,2295
201312,1998
201412,1992
201512,2380
201612,2497
201712,2157
201812,2467
201912,2428
202012,2262
202112,2174
202212,2337
202312,2564
