Missouri January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,1045
197512,1231
197612,1059
197712,1443
197812,1294
197912,1092
198012,1636
198112,1166
198212,1076
198312,1428
198412,1168
198512,1087
198612,1368
198712,1433
198812,1404
198912,1001
199012,1201
199112,1406
199212,862
199312,1138
199412,1102
199512,1199
199612,1055
199712,1083
199812,1462
199912,1248
200012,1312
200112,1275
200212,1352
200312,1169
200412,993
200512,1422
200612,1330
200712,1497
200812,1085
200912,979
201012,1513
201112,1438
201212,1607
201312,1145
201412,1106
201512,1271
201612,1486
201712,1248
201812,1598
201912,1339
202012,1222
202112,1378
202212,1399
202312,1350
