Montana January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,148
197512,142
197612,155
197712,131
197812,100
197912,170
198012,119
198112,167
198212,127
198312,204
198412,195
198512,174
198612,160
198712,128
198812,271
198912,176
199012,197
199112,225
199212,91
199312,41
199412,210
199512,129
199612,188
199712,156
199812,274
199912,151
200012,215
200112,256
200212,187
200312,312
200412,129
200512,169
200612,279
200712,326
200812,164
200912,152
201012,122
201112,203
201212,290
201312,251
201412,187
201512,228
201612,180
201712,279
201812,171
201912,147
202012,202
202112,341
202212,313
202312,235
