New Hampshire January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,199
197512,288
197612,228
197712,186
197812,213
197912,241
198012,250
198112,214
198212,158
198312,305
198412,275
198512,186
198612,138
198712,196
198812,333
198912,224
199012,274
199112,264
199212,123
199312,263
199412,325
199512,319
199612,237
199712,200
199812,277
199912,370
200012,138
200112,300
200212,338
200312,317
200412,216
200512,403
200612,319
200712,244
200812,274
200912,192
201012,394
201112,345
201212,372
201312,349
201412,248
201512,332
201612,377
201712,251
201812,441
201912,330
202012,417
202112,381
202212,421
202312,353
