New Mexico January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,780
197512,636
197612,670
197712,941
197812,875
197912,695
198012,986
198112,878
198212,845
198312,850
198412,797
198512,800
198612,744
198712,695
198812,735
198912,888
199012,860
199112,680
199212,730
199312,838
199412,1108
199512,871
199612,1006
199712,920
199812,1002
199912,802
200012,1125
200112,1040
200212,1093
200312,1126
200412,812
200512,995
200612,979
200712,995
200812,848
200912,953
201012,1043
201112,1223
201212,1154
201312,1036
201412,987
201512,1064
201612,1067
201712,1030
201812,1214
201912,1120
202012,1261
202112,1073
202212,1174
202312,1284
