Arkansas January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,1437
197512,1522
197612,1285
197712,1971
197812,1802
197912,1424
198012,2105
198112,1637
198212,1595
198312,1677
198412,1531
198512,1687
198612,1839
198712,1819
198812,1674
198912,1386
199012,1734
199112,1797
199212,1329
199312,1695
199412,1518
199512,1659
199612,1577
199712,1539
199812,2217
199912,1791
200012,1880
200112,1780
200212,1749
200312,1608
200412,1587
200512,1902
200612,1827
200712,1901
200812,1587
200912,1492
201012,2167
201112,2029
201212,2139
201312,1622
201412,1511
201512,1856
201612,1991
201712,1670
201812,2037
201912,1866
202012,1604
202112,1784
202212,1937
202312,1931
