New York January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,452
197512,526
197612,442
197712,493
197812,452
197912,463
198012,595
198112,519
198212,384
198312,619
198412,528
198512,446
198612,417
198712,525
198812,624
198912,505
199012,516
199112,642
199212,325
199312,581
199412,572
199512,625
199612,468
199712,450
199812,591
199912,709
200012,379
200112,570
200212,674
200312,565
200412,490
200512,828
200612,625
200712,592
200812,599
200912,455
201012,816
201112,744
201212,730
201312,622
201412,545
201512,733
201612,801
201712,587
201812,803
201912,660
202012,769
202112,746
202212,758
202312,623
