North Dakota January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,426
197512,448
197612,541
197712,455
197812,446
197912,396
198012,442
198112,434
198212,353
198312,619
198412,501
198512,303
198612,390
198712,498
198812,760
198912,544
199012,456
199112,536
199212,202
199312,204
199412,369
199512,468
199612,416
199712,477
199812,532
199912,398
200012,413
200112,509
200212,504
200312,516
200412,245
200512,452
200612,605
200712,525
200812,393
200912,306
201012,439
201112,477
201212,598
201312,468
201412,361
201512,501
201612,489
201712,475
201812,526
201912,392
202012,533
202112,697
202212,531
202312,576
