Oregon January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,194
197512,130
197612,109
197712,195
197812,150
197912,177
198012,104
198112,177
198212,128
198312,99
198412,136
198512,196
198612,189
198712,172
198812,169
198912,115
199012,253
199112,229
199212,258
199312,109
199412,226
199512,176
199612,243
199712,216
199812,292
199912,152
200012,154
200112,181
200212,215
200312,308
200412,261
200512,222
200612,240
200712,197
200812,187
200912,267
201012,151
201112,170
201212,208
201312,257
201412,358
201512,371
201612,222
201712,350
201812,286
201912,213
202012,253
202112,372
202212,381
202312,346
