Pennsylvania January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -9999
Date,Value
197412,485
197512,604
197612,476
197712,610
197812,551
197912,485
198012,705
198112,540
198212,462
198312,688
198412,543
198512,520
198612,576
198712,720
198812,737
198912,577
199012,551
199112,799
199212,402
199312,686
199412,630
199512,743
199612,541
199712,483
199812,690
199912,771
200012,487
200112,623
200212,817
200312,598
200412,630
200512,890
200612,700
200712,739
200812,651
200912,532
201012,905
201112,854
201212,830
201312,672
201412,579
201512,790
201612,914
201712,667
201812,893
201912,817
202012,844
202112,844
202212,809
202312,659
